ビジネスポリシー	説明
決済手段は会議室予約時に事前登録する	予約時に決済手段（クレジットカード、電子マネー）を登録させることで、利用後の確実な代金回収を可能にする
利用料の引き落としはサービス運営者が行う	会議室利用後にサービス運営者が利用料を引き落とすことで、オーナーと利用者の直接的な金銭やり取りを排除しトラブルを防ぐ
オーナーへの支払いは月末に一括精算する	会議室オーナーへの支払いを月末にまとめて行うことで、精算業務を効率化し運営コストを抑える
会議室の利用開始は鍵の受け渡しをもって成立する	利用者がオーナーから鍵を受け取った時点を利用開始とすることで、利用実績の基準を明確化する
会議室の利用終了は鍵の返却をもって成立する	会議後に鍵を返却した時点を利用終了とすることで、利用時間と評価タイミングを確定する
オーナーは登録前に審査を受ける	サービス運営担当者がオーナー登録を審査することで、品質の低い物件や不適切なオーナーを排除しサービス全体の信頼性を保つ
オーナーと利用者は相互に評価する	オーナーは利用者を、利用者は会議室とオーナーを評価する仕組みにより、健全な利用環境と品質向上を促す
利用者は過去の評価を参照して判断できる	オーナーが利用者の過去評価を確認し、利用者が会議室の評価を確認できることで、双方がリスクを抑えた意思決定を行える
オーナーは運用ルールを自ら設定できる	キャンセルポリシーや貸出可否などの運用ルールを会議室ごとにオーナーが設定することで、多様な運用形態に対応する
サービス手数料によって運営を維持する	会議室の貸出売上から手数料を徴収することで、サービス運営の収益源とする
問合せはオーナー向けと運営向けに分けて管理する	利用者から会議室オーナーへの問合せと、利用者からサービス運営者への問合せを分離することで、責任範囲を明確にし迅速な対応を可能にする
利用実績と売上はオーナー単位で管理する	会議室別・利用別に売上や利用履歴を管理することで、オーナーへの精算と実績管理を正確に行う
