業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	画面要求
オーナー管理業務	オーナー登録フロー		規約を確認する	↓	規約を参照する	情報	規約			会議室オーナーがサービス利用規約を参照する	
オーナー管理業務	オーナー登録フロー		規約を確認する	↓	規約を参照する	画面	サービス利用規約画面	アクター	会議室オーナー	会議室オーナーがサービス利用規約を参照する	最新のサービス利用規約を全文閲覧でき、改定履歴や同意状況が確認できること
オーナー管理業務	オーナー登録フロー		オーナー申請する	↓	オーナー申請を登録する	情報	オーナー			会議室オーナーが規約同意のうえオーナー申請を登録する	
オーナー管理業務	オーナー登録フロー		オーナー申請する	↓	オーナー申請を登録する	情報	規約			会議室オーナーが規約同意のうえオーナー申請を登録する	
オーナー管理業務	オーナー登録フロー		オーナー申請する	↓	オーナー申請を登録する	条件	オーナー登録前規約同意必須			会議室オーナーが規約同意のうえオーナー申請を登録する	
オーナー管理業務	オーナー登録フロー		オーナー申請する	↓	オーナー申請を登録する	画面	オーナー申請画面	アクター	会議室オーナー	会議室オーナーが規約同意のうえオーナー申請を登録する	氏名・連絡先などの申請項目入力と規約同意チェックをセットで行え、申請前に入力内容を確認できること
オーナー管理業務	オーナー登録フロー		オーナー申請を審査する	↓	オーナー申請を審査する	情報	オーナー			オーナー管理担当者が申請内容を審査する	
オーナー管理業務	オーナー登録フロー		オーナー申請を審査する	↓	オーナー申請を審査する	条件	オーナー審査必須			オーナー管理担当者が申請内容を審査する	
オーナー管理業務	オーナー登録フロー		オーナー申請を審査する	↓	オーナー申請を審査する	画面	オーナー申請審査画面	アクター	オーナー管理担当者	オーナー管理担当者が申請内容を審査する	申請内容一覧と詳細を参照し、審査ステータスや審査コメントを記録しながら審査を進められること
オーナー管理業務	オーナー登録フロー		オーナー登録を承認する	↓	オーナー登録を承認する	情報	オーナー			オーナー管理担当者が審査結果をもとにオーナー登録を承認する	
オーナー管理業務	オーナー登録フロー		オーナー登録を承認する	↓	オーナー登録を承認する	条件	オーナー審査必須			オーナー管理担当者が審査結果をもとにオーナー登録を承認する	
オーナー管理業務	オーナー登録フロー		オーナー登録を承認する	↓	オーナー登録を承認する	画面	オーナー登録承認画面	アクター	オーナー管理担当者	オーナー管理担当者が審査結果をもとにオーナー登録を承認する	審査結果に基づき承認操作ができ、承認理由と承認者を記録できること
オーナー管理業務	オーナー登録フロー		申請不備を通知する		オーナー申請を却下する	情報	オーナー			申請不備時にオーナー申請を却下し差戻し通知する	
オーナー管理業務	オーナー登録フロー		申請不備を通知する		オーナー申請を却下する	条件	オーナー審査必須			申請不備時にオーナー申請を却下し差戻し通知する	
オーナー管理業務	オーナー登録フロー		申請不備を通知する		オーナー申請を却下する	画面	オーナー申請却下画面	アクター	オーナー管理担当者	申請不備時にオーナー申請を却下し差戻し通知する	不備内容を指定して却下操作ができ、差戻し通知文を編集して申請者へ連絡できること
オーナー管理業務	オーナープロフィール管理フロー		プロフィールを登録する	↓	オーナープロフィールを登録する	情報	オーナー			会議室オーナーが自身のプロフィール情報を登録する	
オーナー管理業務	オーナープロフィール管理フロー		プロフィールを登録する	↓	オーナープロフィールを登録する	画面	オーナープロフィール登録画面	アクター	会議室オーナー	会議室オーナーが自身のプロフィール情報を登録する	プロフィール項目を入力でき、必須項目と任意項目が明確に区別されていること
オーナー管理業務	オーナープロフィール管理フロー		プロフィールを更新する		オーナープロフィールを更新する	情報	オーナー			会議室オーナーが自身のプロフィール情報を更新する	
