	貸し会議室サービス
A	アクター
C	アクター群	アクター	説明
B	会議室提供者	会議室オーナー	役割:会議室を所有し、貸し出しを行う。物件情報の登録、運用ルール設定、利用者への鍵の貸出、評価確認を行う / 社内外:社外 / 立場:提供者
B	サービス運営組織	サービス運営担当者	役割:貸し会議室サービス全体の運営を担当する。オーナー審査、手数料管理、利用状況分析、問合せ対応、オーナーへの精算を行う / 社内外:社内 / 立場:提供者 / 主担当業務:サービス運営管理フロー
B	会議室利用者	利用者	役割:会議室を検索・予約・利用し、利用後に評価を行う / 社内外:社外 / 立場:受益者
A	外部システム
C	外部システム群	外部システム	説明
B	決済系システム	決済機関	会議室オーナーへの精算（利用料の支払い）および利用者からの利用料引き落としに使用する
A	情報
C	コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
B	オーナー管理	オーナー情報	オーナーID、氏名、メールアドレス、電話番号、プロフィール、登録日	サービス規約、会議室情報	オーナー申請状態		会議室オーナーのプロフィール情報を管理する
B	オーナー管理	サービス規約	規約ID、規約名、規約内容、適用開始日			貸し会議室サービスの利用規約	
B	会議室管理	会議室情報	会議室ID、会議室名、広さ、価格、機能性、所在地、画像	オーナー情報、運用ルール、鍵情報		貸出可否	会議室の物件情報を管理する
B	会議室管理	運用ルール	ルールID、キャンセルポリシー、貸出可否、利用時間帯	会議室情報			会議室ごとの運用ルールを管理する
B	会議室管理	鍵情報	鍵ID、鍵種別、貸出状態、貸出日時、返却日時	会議室情報			会議室の鍵の貸出・返却状態を管理する
B	予約管理	予約情報	予約ID、予約日時、利用開始日時、利用終了日時、決済方法、利用料金	会議室情報、利用者情報	予約状態	決済方法	会議室の予約情報を管理する
B	予約管理	利用者情報	利用者ID、氏名、メールアドレス、電話番号、登録日	予約情報			利用者のアカウント情報を管理する
B	評価管理	会議室評価	評価ID、評価者、評価対象、評価点、コメント、評価日	会議室情報、予約情報		評価種別	利用者からの会議室・ホスト評価を管理する
B	評価管理	利用者評価	評価ID、評価者、評価対象利用者、評価点、コメント、評価日	オーナー情報、予約情報			オーナーが利用者に付けた評価を管理する
B	問合せ管理	問合せ	問合せID、問合せ種別、問合せ内容、回答内容、問合せ日時、回答日時	予約情報	問合せ状態	問合せ種別	利用者からの問合せと回答を管理する
B	売上管理	手数料情報	手数料ID、対象期間、会議室ID、手数料率、手数料額	利用履歴			サービス運営の手数料情報を管理する
B	売上管理	利用履歴	履歴ID、利用者ID、会議室ID、利用日時、利用時間、利用料金	予約情報、会議室情報			会議室の利用履歴を管理する
B	売上管理	売上実績	売上ID、オーナーID、会議室ID、対象期間、売上金額	利用履歴、オーナー情報			オーナーの会議室別売上実績を管理する
B	精算管理	精算情報	精算ID、オーナーID、対象期間、利用料合計、手数料、支払額、精算日	売上実績、手数料情報			オーナーへの精算情報を管理する
A	状態
C	コンテキスト	状態モデル	状態	遷移UC	遷移先状態	状態モデル・状態の説明
B	オーナー管理	オーナー申請状態	""	""	未申請	オーナーの初期状態
B	オーナー管理	オーナー申請状態	未申請	オーナー申請する	申請中	オーナーが申請を行う
B	オーナー管理	オーナー申請状態	申請中	オーナー登録を審査する	審査中	運営担当者が審査を開始する
B	オーナー管理	オーナー申請状態	審査中	オーナー登録を審査する	承認	審査を通過し承認される
B	オーナー管理	オーナー申請状態	審査中	オーナー登録を審査する	却下	審査で却下される
B	オーナー管理	オーナー申請状態	承認	オーナー退会する	退会	承認済みオーナーが退会する
B	オーナー管理	オーナー申請状態	却下	オーナー申請する	申請中	却下されたオーナーが再申請する
B	オーナー管理	オーナー申請状態	退会	""	""	退会の終了状態
B	予約管理	予約状態	""	""	仮予約	予約の初期状態
B	予約管理	予約状態	仮予約	利用許諾を判定する	確定	オーナーが使用許諾し予約確定
B	予約管理	予約状態	仮予約	予約を取消する	取消	予約が取り消される
B	予約管理	予約状態	確定	鍵を貸出する	利用中	鍵を貸し出し利用開始
B	予約管理	予約状態	確定	予約を変更する	変更	予約内容が変更される
B	予約管理	予約状態	確定	予約を取消する	取消	確定済み予約が取り消される
B	予約管理	予約状態	変更	会議室を予約する	確定	変更内容が確定する
B	予約管理	予約状態	利用中	鍵を返却する	利用完了	鍵を返却し利用終了
B	予約管理	予約状態	利用完了	""	""	利用完了の終了状態
B	予約管理	予約状態	取消	""	""	取消の終了状態
B	問合せ管理	問合せ状態	""	""	受付	問合せの初期状態
B	問合せ管理	問合せ状態	受付	問合せに回答する	対応中	問合せへの対応を開始する
B	問合せ管理	問合せ状態	受付	サービス問合せに回答する	対応中	サービス問合せへの対応を開始する
B	問合せ管理	問合せ状態	対応中	問合せに回答する	回答済	回答を送信する
B	問合せ管理	問合せ状態	対応中	サービス問合せに回答する	回答済	サービス問合せの回答を送信する
B	問合せ管理	問合せ状態	回答済	""	完了	利用者が回答を確認し完了
B	問合せ管理	問合せ状態	完了	""	""	問合せ完了の終了状態
A	条件
C	コンテキスト	条件	条件の説明	バリエーション	状態モデル
B	予約管理	予約変更条件	キャンセルポリシーに基づき予約の変更・取消の可否を判定する		予約状態
B	会議室管理	利用許諾条件	利用者の過去の利用評価に基づき使用許諾の可否を判定する		
B	精算管理	精算条件	会議室別の利用履歴と手数料率に基づき精算額を算出する		
B	オーナー管理	オーナー審査条件	オーナー申請の審査基準に基づき承認・却下を判定する		オーナー申請状態
A	バリエーション
C	コンテキスト	バリエーション	値	説明
B	予約管理	決済方法	クレジットカード、電子マネー	利用者が予約時に選択する決済手段の種類
B	会議室管理	貸出可否	貸出可、貸出不可	会議室の貸出可能・不可の状態区分
B	問合せ管理	問合せ種別	会議室問合せ、サービス問合せ	問合せ先による分類
B	評価管理	評価種別	会議室評価、ホスト評価、利用者評価	評価の対象による分類
A	BUC
C	業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明
B	オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	情報	サービス規約	""	""	サービス規約の内容を確認する
B	オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	画面	規約参照画面	アクター	会議室オーナー	""
B	オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	情報	オーナー情報	""	""	オーナーのプロフィール情報を入力し登録する
B	オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	画面	オーナー登録画面	アクター	会議室オーナー	""
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	情報	オーナー情報	""	""	サービスへの参加申請を行う
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	画面	オーナー申請画面	アクター	会議室オーナー	""
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー登録を審査する	情報	オーナー情報	""	""	オーナー申請を審査し承認または却下する
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー登録を審査する	条件	オーナー審査条件	""	""	""
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー登録を審査する	画面	オーナー審査画面	アクター	サービス運営担当者	""
B	オーナー管理業務	オーナー退会フロー	""	退会手続きを行う	""	オーナー退会する	情報	オーナー情報	""	""	オーナーの退会手続きを行う
B	オーナー管理業務	オーナー退会フロー	""	退会手続きを行う	""	オーナー退会する	画面	退会申請画面	アクター	会議室オーナー	""
B	オーナー管理業務	オーナー退会フロー	""	退会を処理する	""	退会を処理する	情報	オーナー情報	""	""	退会申請の確認と処理を行う
B	オーナー管理業務	オーナー退会フロー	""	退会を処理する	""	退会を処理する	画面	退会処理画面	アクター	サービス運営担当者	""
B	会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	情報	会議室情報	""	""	会議室の物件情報を登録する
B	会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	画面	会議室登録画面	アクター	会議室オーナー	""
B	会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	情報	運用ルール	""	""	キャンセルポリシーや貸出可否を設定する
B	会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	画面	運用ルール設定画面	アクター	会議室オーナー	""
B	会議室管理業務	会議室登録フロー	""	評価を確認する	""	会議室評価を確認する	情報	会議室評価	""	""	利用者からの評価一覧を確認する
B	会議室管理業務	会議室登録フロー	""	評価を確認する	""	会議室評価を確認する	画面	評価確認画面	アクター	会議室オーナー	""
B	会議室管理業務	会議室登録フロー	""	プロフィールを管理する	""	プロフィールを編集する	情報	オーナー情報	""	""	オーナーのプロフィール情報を編集する
B	会議室管理業務	会議室登録フロー	""	プロフィールを管理する	""	プロフィールを編集する	画面	プロフィール編集画面	アクター	会議室オーナー	""
B	予約業務	会議室予約フロー	""	会議室を探す	""	会議室を照会する	情報	会議室情報	""	""	広さ・価格・機能性・評価で会議室を検索する
B	予約業務	会議室予約フロー	""	会議室を探す	""	会議室を照会する	情報	会議室評価	""	""	""
B	予約業務	会議室予約フロー	""	会議室を探す	""	会議室を照会する	画面	会議室検索画面	アクター	利用者	""
B	予約業務	会議室予約フロー	""	予約を行う	""	会議室を予約する	情報	予約情報	""	""	会議室の予約と決済方法の設定を行う
B	予約業務	会議室予約フロー	""	予約を行う	""	会議室を予約する	情報	会議室情報	""	""	""
B	予約業務	会議室予約フロー	""	予約を行う	""	会議室を予約する	画面	予約申込画面	アクター	利用者	""
B	予約業務	会議室予約フロー	""	予約を変更する	""	予約を変更する	情報	予約情報	""	""	予約内容の変更を行う
B	予約業務	会議室予約フロー	""	予約を変更する	""	予約を変更する	条件	予約変更条件	""	""	""
B	予約業務	会議室予約フロー	""	予約を変更する	""	予約を変更する	画面	予約変更画面	アクター	利用者	""
B	予約業務	会議室予約フロー	""	予約を取り消す	""	予約を取消する	情報	予約情報	""	""	予約の取消を行う
B	予約業務	会議室予約フロー	""	予約を取り消す	""	予約を取消する	条件	予約変更条件	""	""	""
B	予約業務	会議室予約フロー	""	予約を取り消す	""	予約を取消する	画面	予約取消画面	アクター	利用者	""
B	会議室貸出業務	会議室貸出フロー	""	鍵を受け取る	""	鍵を受け取る	情報	鍵情報	""	""	会議室の鍵を受け取り利用を開始する
B	会議室貸出業務	会議室貸出フロー	""	鍵を受け取る	""	鍵を受け取る	情報	予約情報	""	""	""
B	会議室貸出業務	会議室貸出フロー	""	鍵を受け取る	""	鍵を受け取る	画面	鍵受取確認画面	アクター	利用者	""
B	会議室貸出業務	会議室貸出フロー	""	利用者を確認する	""	利用許諾を判定する	情報	利用者評価	""	""	利用者の過去評価を確認し使用許諾する
B	会議室貸出業務	会議室貸出フロー	""	利用者を確認する	""	利用許諾を判定する	情報	予約情報	""	""	""
B	会議室貸出業務	会議室貸出フロー	""	利用者を確認する	""	利用許諾を判定する	条件	利用許諾条件	""	""	""
B	会議室貸出業務	会議室貸出フロー	""	利用者を確認する	""	利用許諾を判定する	画面	利用許諾画面	アクター	会議室オーナー	""
B	会議室貸出業務	会議室貸出フロー	""	鍵を貸し出す	""	鍵を貸出する	情報	鍵情報	""	""	会議室の鍵を利用者に貸し出す
B	会議室貸出業務	会議室貸出フロー	""	鍵を貸し出す	""	鍵を貸出する	画面	鍵貸出画面	アクター	会議室オーナー	""
B	会議室貸出業務	会議室貸出フロー	""	鍵の返却を受ける	""	鍵を返却する	情報	鍵情報	""	""	利用者から鍵の返却を受け利用終了とする
B	会議室貸出業務	会議室貸出フロー	""	鍵の返却を受ける	""	鍵を返却する	画面	鍵返却画面	アクター	会議室オーナー	""
B	会議室貸出業務	会議室貸出フロー	""	利用者を評価する	""	利用者を評価する	情報	利用者評価	""	""	利用者の利用態度等を評価し記録する
B	会議室貸出業務	会議室貸出フロー	""	利用者を評価する	""	利用者を評価する	画面	利用者評価画面	アクター	会議室オーナー	""
B	会議室貸出業務	問合せ対応フロー	""	オーナーに問合せる	""	オーナーに問合せる	情報	問合せ	""	""	会議室オーナーに質問を送信する
B	会議室貸出業務	問合せ対応フロー	""	オーナーに問合せる	""	オーナーに問合せる	画面	問合せ送信画面	アクター	利用者	""
