情報	説明
オーナー	会議室オーナーとして登録された人物。オーナーID で一意に識別される。プロフィール情報を持ち、会議室の貸出を行う
会議室	オーナーが登録する貸出対象の物件。会議室ID で一意に識別される。広さ・価格・機能性などの物件情報を持つ
運用ルール	会議室ごとに設定される貸出条件。会議室に紐づき、キャンセルポリシーや貸出可否を定義する
利用者	会議室を予約・利用する人物。利用者ID で一意に識別される。会員として登録されている
予約	利用者が会議室を予約した情報。予約ID で一意に識別される。予約日時・決済方法・変更取消状態を持つ
鍵	会議室の物理的な鍵。会議室に紐づき、貸出・返却によって利用の開始・終了を管理する
会議室評価	利用者が会議室およびオーナーに対して登録する評価。評価ID で一意に識別される
利用者評価	オーナーが利用者に対して登録する評価。評価ID で一意に識別される。利用許諾判断にも使用される
利用実績	会議室の利用履歴。利用実績ID で一意に識別される。会員別・物件別に管理される
売上実績	会議室貸出による売上情報。売上ID で一意に識別される。会議室別・貸出別に集計される
手数料売上	サービス運営者が得る手数料の売上情報。会議室別・貸出別に分析される
清算	会議室オーナーへの利用料支払い。清算ID で一意に識別される。会議室別の利用履歴から算出される
問合せ	利用者からオーナーまたはサービス運営へ送られる問合せ。問合せID で一意に識別される
決済	予約時に登録される決済情報。決済ID で一意に識別される。クレジットカード・電子マネーなどの決済手段を持つ
規約	サービス利用にあたっての規約。オーナー登録時に参照・確認される
オーナー申請	オーナーとして登録するための審査申請。申請ID で一意に識別され、サービス運営担当者が審査する
