UC	画面	アクター	画面要求
規約を参照する	サービス利用規約画面	会議室オーナー	最新のサービス利用規約を全文閲覧でき、改定履歴や同意状況が確認できること
オーナー申請を登録する	オーナー申請画面	会議室オーナー	氏名・連絡先などの申請項目入力と規約同意チェックをセットで行え、申請前に入力内容を確認できること
オーナー申請を審査する	オーナー申請審査画面	オーナー管理担当者	申請内容一覧と詳細を参照し、審査ステータスや審査コメントを記録しながら審査を進められること
オーナー登録を承認する	オーナー登録承認画面	オーナー管理担当者	審査結果に基づき承認操作ができ、承認理由と承認者を記録できること
オーナー申請を却下する	オーナー申請却下画面	オーナー管理担当者	不備内容を指定して却下操作ができ、差戻し通知文を編集して申請者へ連絡できること
オーナープロフィールを登録する	オーナープロフィール登録画面	会議室オーナー	プロフィール項目を入力でき、必須項目と任意項目が明確に区別されていること
オーナープロフィールを更新する	オーナープロフィール更新画面	会議室オーナー	現在のプロフィール内容を確認しながら変更点のみを更新でき、更新前後の差分が把握できること
オーナー退会を申請する	オーナー退会申請画面	会議室オーナー	退会理由を選択・入力し、未清算・公開中物件の有無を事前に確認したうえで申請できること
オーナー退会を承認する	オーナー退会承認画面	オーナー管理担当者	退会申請内容と未清算有無を確認し、承認可否を判定・記録できること
オーナーを退会させる	オーナー退会処理画面	オーナー管理担当者	承認済み退会申請に対して退会処理を実行でき、処理結果と日時を記録できること
オーナー申請内容を参照する	オーナー申請内容参照画面	オーナー管理担当者	申請者情報・添付書類・申請履歴を一覧で参照でき、審査判断に必要な情報にすぐアクセスできること
オーナー審査結果を記録する	オーナー審査結果記録画面	オーナー管理担当者	審査区分（承認・却下・保留）と審査コメントを選択・入力でき、結果確定前に内容を確認できること
会議室物件情報を登録する	会議室物件情報登録画面	会議室オーナー	広さ・価格・機能性などの物件情報を入力でき、写真や設備区分を選択しながら登録できること
会議室運用ルールを設定する	会議室運用ルール設定画面	会議室オーナー	キャンセルポリシーや貸出可否などの運用ルールを選択肢から設定でき、設定内容をプレビューできること
会議室登録を受付する	会議室登録受付画面	会議室管理担当者	オーナーが登録した会議室情報を確認し、受付して公開状態に切り替えられること
会議室評価を参照する	会議室評価参照画面	会議室オーナー	自身の会議室に対する評価一覧と平均評価点、個別コメントを参照できること
会議室を検索する	会議室検索画面	利用者	広さ・価格・機能性・評価などの条件で会議室を絞り込み検索でき、貸出可否状態を確認できること
会議室詳細を参照する	会議室詳細画面	利用者	会議室の物件情報・評価・運用ルールを総合的に参照でき、予約へスムーズに進めること
