業務	BUC	アクティビティ	次	UC	情報	条件	アクター	外部システム	状態モデル	From状態	To状態	説明
オーナー管理業務	オーナー登録フロー	規約を確認する	↓	規約を参照する	規約		会議室オーナー					会議室オーナーがサービス利用規約を参照する
オーナー管理業務	オーナー登録フロー	オーナー申請する	↓	オーナー申請を登録する	オーナー,規約	オーナー登録前規約同意必須	会議室オーナー		オーナー登録状態	未申請	申請中	会議室オーナーが規約同意のうえオーナー申請を登録する
オーナー管理業務	オーナー登録フロー	オーナー申請を審査する	↓	オーナー申請を審査する	オーナー	オーナー審査必須	オーナー管理担当者		オーナー登録状態	申請中	審査中	オーナー管理担当者が申請内容を審査する
オーナー管理業務	オーナー登録フロー	オーナー登録を承認する	↓	オーナー登録を承認する	オーナー	オーナー審査必須	オーナー管理担当者		オーナー登録状態	審査中	承認	オーナー管理担当者が審査結果をもとにオーナー登録を承認する
オーナー管理業務	オーナー登録フロー	申請不備を通知する		オーナー申請を却下する	オーナー	オーナー審査必須	オーナー管理担当者		オーナー登録状態	審査中	却下	申請不備時にオーナー申請を却下し差戻し通知する
オーナー管理業務	オーナープロフィール管理フロー	プロフィールを登録する	↓	オーナープロフィールを登録する	オーナー		会議室オーナー					会議室オーナーが自身のプロフィール情報を登録する
オーナー管理業務	オーナープロフィール管理フロー	プロフィールを更新する		オーナープロフィールを更新する	オーナー		会議室オーナー					会議室オーナーが自身のプロフィール情報を更新する
オーナー管理業務	オーナー退会フロー	オーナー退会を申請する	↓	オーナー退会を申請する	オーナー		会議室オーナー					会議室オーナーが退会を申請する
オーナー管理業務	オーナー退会フロー	退会申請を承認する	↓	オーナー退会を承認する	オーナー	退会時の未清算チェック	オーナー管理担当者					オーナー管理担当者が退会申請内容を確認し承認する
オーナー管理業務	オーナー退会フロー	オーナー退会処理を実施する		オーナーを退会させる	オーナー	退会時の未清算チェック	オーナー管理担当者		オーナー登録状態	承認	退会	承認された退会申請に基づき退会処理を実施する
オーナー管理業務	オーナー審査フロー	オーナー申請内容を確認する	↓	オーナー申請内容を参照する	オーナー		オーナー管理担当者					オーナー管理担当者が申請内容を確認する
オーナー管理業務	オーナー審査フロー	オーナー審査結果を判定する		オーナー審査結果を記録する	オーナー	オーナー審査必須	オーナー管理担当者					オーナー管理担当者が審査結果（承認/却下）を判定し記録する
会議室管理業務	会議室登録フロー	物件情報を登録する	↓	会議室物件情報を登録する	会議室		会議室オーナー		会議室公開状態	未登録	下書き	会議室オーナーが広さ・価格・機能性などの物件情報を登録する
会議室管理業務	会議室登録フロー	運用ルールを設定する	↓	会議室運用ルールを設定する	会議室,運用ルール	会議室貸出可否判定	会議室オーナー					会議室オーナーがキャンセルポリシー・貸出可否などの運用ルールを設定する
会議室管理業務	会議室登録フロー	会議室登録を受付する		会議室登録を受付する	会議室		会議室管理担当者		会議室公開状態	下書き	公開中	会議室管理担当者が登録内容を受付して会議室を有効化する
会議室管理業務	会議室評価確認フロー	会議室評価を参照する		会議室評価を参照する	会議室,評価		会議室オーナー					会議室オーナーが自身の会議室に対する利用者からの評価を参照する
予約業務	会議室照会フロー	会議室を検索する	↓	会議室を検索する	会議室	会議室照会条件,会議室貸出可否判定	利用者					利用者が広さ・価格・機能性・評価などの条件で会議室を検索する
予約業務	会議室照会フロー	会議室詳細を照会する		会議室詳細を参照する	会議室,評価	会議室照会条件	利用者					利用者が検索結果から会議室の詳細情報と評価を照会する
予約業務	会議室予約フロー	利用日時を選択する	↓	利用日時を選択する	会議室,予約		利用者					利用者が会議室の利用日時を選択する
予約業務	会議室予約フロー	決済手段を登録する	↓	決済手段を登録する	決済手段	決済手段事前登録必須	利用者		決済状態	未登録	登録済	利用者がクレジットカードや電子マネーなどの決済手段を登録する
予約業務	会議室予約フロー	会議室を予約する	↓	会議室予約を登録する	予約,決済手段	決済手段事前登録必須,会議室貸出可否判定	利用者		予約状態		仮予約	利用者が会議室の予約を確定する
予約業務	会議室予約フロー	予約を受付する		会議室予約を受付する	予約		予約管理担当者		予約状態	仮予約	確定	予約管理担当者が予約内容を受付して確定する
予約業務	予約変更・取消フロー	予約を照会する	↓	予約を参照する	予約		利用者					利用者が自身の予約を照会する
予約業務	予約変更・取消フロー	予約を変更・取消する	↓	予約を変更する	予約	予約変更・取消のポリシー適用	利用者		予約状態	確定	変更済	利用者が予約内容の変更または取消を行う
予約業務	予約変更・取消フロー	変更・取消を受付する		予約取消を受付する	予約	予約変更・取消のポリシー適用	予約管理担当者		予約状態	確定	取消	予約管理担当者が変更・取消内容を受付して反映する
予約業務	オーナーへの問合せフロー	オーナーへ問合せする	↓	オーナーへの問合せを登録する	問合せ	問合せ分離管理	利用者		問合せ状態		受付	利用者が会議室オーナーへ問合せを送信する
予約業務	オーナーへの問合せフロー	問合せを受付する		オーナーへの問合せを受付する	問合せ	問合せ分離管理	予約管理担当者		問合せ状態	受付	対応中	予約管理担当者が問合せを受付してオーナーへ連携する
貸出業務	会議室貸出フロー	予約内容を確認する	↓	予約内容を確認する	予約		会議室オーナー					会議室オーナーが当日の予約内容を確認する
貸出業務	会議室貸出フロー	利用者の過去評価を確認する	↓	利用者評価履歴を参照する	利用者,評価	貸出時利用者評価確認	会議室オーナー					会議室オーナーが利用者の過去の利用評価を確認する
貸出業務	会議室貸出フロー	利用者の使用を許諾する	↓	利用者の使用許諾を登録する	貸出	貸出時利用者評価確認	会議室オーナー					会議室オーナーが利用者の使用を許諾する
貸出業務	会議室貸出フロー	カギを貸し出す	↓	カギ貸出を記録する	貸出	会議室利用開始成立条件	会議室オーナー		会議室利用状態	未開始	鍵貸出済（利用中）	会議室オーナーが利用者にカギを貸し出す
貸出業務	会議室貸出フロー	カギを受け取る	↓	カギ受取を記録する	貸出	会議室利用開始成立条件	利用者					利用者が会議室オーナーからカギを受け取り利用開始となる
貸出業務	会議室貸出フロー	カギを返却する	↓	カギ返却を記録する	貸出	会議室利用終了成立条件	利用者					会議後に利用者がカギを返却する
貸出業務	会議室貸出フロー	カギ返却を確認し利用終了とする		会議室利用終了を確定する	貸出,予約	会議室利用終了成立条件	会議室オーナー		会議室利用状態	鍵貸出済（利用中）	鍵返却済（利用終了）	会議室オーナーがカギの返却を確認し会議室利用を終了とする
貸出業務	利用者評価フロー	利用者を評価する		利用者評価を登録する	利用者,評価	相互評価の成立条件,評価登録タイミング制約	会議室オーナー		評価状態	未評価	評価済	会議室オーナーが利用者を評価し登録する
貸出業務	会議室評価フロー	会議室を評価する	↓	会議室評価を登録する	会議室,評価	相互評価の成立条件,評価登録タイミング制約	利用者		評価状態	未評価	評価済	利用者が利用した会議室を評価する
貸出業務	会議室評価フロー	ホストを評価する		ホスト評価を登録する	オーナー,評価	相互評価の成立条件,評価登録タイミング制約	利用者		評価状態	未評価	評価済	利用者が会議室オーナー（ホスト）を評価する
