業務	BUC	価値受益アクター	価値提供アクター	説明
オーナー管理業務	オーナー登録フロー	会議室オーナー	サービス運営担当者	会議室オーナーがサービスに登録し、規約確認・申請・プロフィール登録を行う
オーナー管理業務	オーナー退会フロー	会議室オーナー	サービス運営担当者	会議室オーナーがサービスから退会する
オーナー管理業務	オーナー審査フロー	サービス運営担当者	会議室オーナー	サービス運営担当者がオーナー登録申請を審査する
会議室管理業務	会議室登録フロー	会議室オーナー	サービス運営担当者	会議室オーナーが物件情報（広さ・価格・機能性）を登録する
会議室管理業務	運用ルール設定フロー	会議室オーナー	サービス運営担当者	会議室オーナーがキャンセルポリシーや貸出可否などの運用ルールを設定する
会議室貸出業務	利用者使用許諾フロー	会議室オーナー	利用者	会議室オーナーが利用者の過去の利用評価を確認し使用許諾を判断する
会議室貸出業務	鍵貸出フロー	利用者	会議室オーナー	会議室オーナーが利用者に会議室の鍵を貸し出し、返却を受け付ける
会議室貸出業務	利用者問合せ対応フロー	利用者	会議室オーナー	利用者からの会議室オーナーへの問合せに回答する
会議室予約業務	会議室照会フロー	利用者	サービス運営担当者	利用者が広さ・価格・機能性・評価で会議室を検索・照会する
会議室予約業務	会議室予約フロー	利用者	サービス運営担当者	利用者が会議室を予約し決済方法（クレジットカード・電子マネー）を設定する
会議室予約業務	予約変更取消フロー	利用者	サービス運営担当者	利用者が予約の変更または取消を行う
評価管理業務	利用者評価登録フロー	会議室オーナー	利用者	会議室オーナーが利用者の評価を登録する
評価管理業務	会議室評価登録フロー	利用者	会議室オーナー	利用者が利用した会議室とそのホストの評価を登録する
評価管理業務	会議室評価確認フロー	会議室オーナー	利用者	会議室オーナーが自身の会議室に対する評価を確認する
利用実績管理業務	売上実績管理フロー	会議室オーナー	サービス運営担当者	会議室オーナーが会議室の売上実績を管理・確認する
利用実績管理業務	利用履歴管理フロー	サービス運営担当者	利用者	サービス運営担当者が会員別・物件別の利用履歴を管理する
利用実績管理業務	会議室利用状況分析フロー	サービス運営担当者	利用者	サービス運営担当者が会議室の利用状況を分析する
サービス運営業務	手数料売上分析フロー	サービス運営担当者	会議室オーナー	サービス運営担当者が会議室別・貸出別の手数料売上を分析する
サービス運営業務	運用管理フロー	サービス運営担当者	会議室オーナー	サービス運営担当者がサービス全体の運用を管理する
サービス運営業務	サービス問合せ対応フロー	利用者	サービス運営担当者	利用者からのサービスに関する問合せに対応する
決済清算業務	利用料決済フロー	利用者	サービス運営担当者	会議室利用後にサービス運営者が利用者から利用料を引き落とす
決済清算業務	オーナー清算フロー	会議室オーナー	サービス運営担当者	月末に会議室別の利用履歴からオーナーへの精算額を決済機関経由で支払う
