条件	条件の説明	利用場面
オーナー登録条件	オーナー登録時にサービス規約への同意が必要である。規約確認を完了しなければオーナー申請できない	オーナーがサービスに新規登録する際に、規約遵守を担保するために適用される
オーナー審査条件	オーナー登録申請はサービス運営担当者による審査を通過しなければならない	オーナー申請後、サービス運営担当者が不適切なオーナーの参入を防ぐために審査時に適用される
会議室登録条件	会議室登録時に物件情報（広さ、価格、機能性）が必須入力である	オーナーが会議室を新規登録する際に、利用者が適切に会議室を選択できる情報を確保するために適用される
運用ルール設定条件	会議室にはキャンセルポリシーおよび貸出可否の運用ルールを設定しなければならない	オーナーが会議室を登録・更新する際に、貸出条件を明確化しトラブルを防止するために適用される
利用者使用許諾条件	会議室の貸出時にオーナーが利用者の過去の利用評価を確認し、使用許諾を判断する	オーナーが利用者への貸出を承認する際に、信頼性の低い利用者への貸出リスクを回避するために適用される
予約時決済手段登録条件	会議室の予約時に決済手段（クレジットカードまたは電子マネー）の登録が必須である	利用者が会議室を予約する際に、利用料の確実な回収を担保するために適用される
鍵受渡しによる利用開始条件	利用者が会議室に行きオーナーから鍵を受け取った時点で会議室利用が開始となる	利用者が予約した会議室を実際に利用する際に、利用開始の基準時点を明確にするために適用される
鍵返却による利用終了条件	利用者が鍵を返却した時点で会議室の利用が終了となる	利用者が会議室の利用を完了する際に、利用終了の基準時点を明確にし課金期間を確定するために適用される
利用後引落し条件	会議室利用後にサービス運営者が利用料を利用者から引き落とす	会議室利用終了後に、利用料の決済を実行するために適用される
月末オーナー精算条件	月末に会議室オーナーに対して利用料が支払われる	月末の精算タイミングで、オーナーへの適正な報酬支払いを実行するために適用される
評価登録条件	利用者は利用した会議室およびそのオーナーに対して評価を登録できる	利用者が会議室利用後に評価を行う際に、サービス品質の可視化とフィードバックを実現するために適用される
キャンセルポリシー適用条件	予約の変更・取消時に会議室に設定されたキャンセルポリシーに従う	利用者が予約を変更または取り消す際に、オーナーの損失を軽減しつつ公平な取消ルールを適用するために適用される
手数料計算条件	サービス運営者は会議室利用料から手数料を差し引いてオーナーに精算する	オーナーへの精算時に、サービス運営の収益を確保するために適用される
オーナー退会条件	オーナーが退会する場合、未精算の利用料がすべて精算済みでなければならない	オーナーが退会を申請する際に、精算漏れによるトラブルを防止するために適用される
問合せ対応条件	利用者からの問合せに対して会議室オーナーまたはサービス運営担当者が回答する責務がある	利用者が会議室オーナーへの問合せやサービスへの問合せを行う際に、適切なサポート体制を維持するために適用される
