業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
会議室管理業務	会議室管理フロー		バーチャル会議室登録		バーチャル会議室を登録する	情報	会議室情報			会議室オーナーがバーチャル会議室の会議ツール種別・同時接続数・録画可否・価格を登録する	
会議室管理業務	会議室管理フロー		バーチャル会議室登録		バーチャル会議室を登録する	情報	会議URL				
会議室管理業務	会議室管理フロー		バーチャル会議室登録		バーチャル会議室を登録する	条件	会議室種別別登録条件				
会議室管理業務	会議室管理フロー		バーチャル会議室登録		バーチャル会議室を登録する	画面	バーチャル会議室登録画面	アクター	会議室オーナー		
会議室利用業務	会議室予約フロー		会議室検索		会議室を検索する	情報	会議室情報			利用者が会議室種別・会議ツール種別・同時接続数などの条件でバーチャル会議室を含めて検索する	
会議室利用業務	会議室予約フロー		会議室検索		会議室を検索する	バリエーション	会議室検索条件				
会議室利用業務	会議室予約フロー		会議室検索		会議室を検索する	画面	会議室検索画面	アクター	利用者		
会議室利用業務	会議室予約フロー		バーチャル会議室予約		バーチャル会議室を予約する	情報	予約情報			利用者がバーチャル会議室の利用日時を指定して予約申請を行う。決済フローは物理会議室と同じフローを使用する	
会議室利用業務	会議室予約フロー		バーチャル会議室予約		バーチャル会議室を予約する	画面	バーチャル会議室予約画面	アクター	利用者		
会議室貸出業務	会議室貸出管理フロー		会議URL通知		会議URLを通知する	情報	会議URL			バーチャル会議室の予約確定時にオーナーが設定した会議URLを利用者にメール等で自動通知する	
会議室貸出業務	会議室貸出管理フロー		会議URL通知		会議URLを通知する	情報	予約情報				
会議室貸出業務	会議室貸出管理フロー		会議URL通知		会議URLを通知する	条件	バーチャル会議室利用ポリシー				
会議室貸出業務	会議室貸出管理フロー		会議URL通知		会議URLを通知する	画面	会議URL通知画面	アクター	利用者		
会議室貸出業務	会議室貸出管理フロー		バーチャル会議室利用開始		バーチャル会議室利用を開始する	情報	会議室利用			バーチャル会議室の予約確定後、利用開始時刻に自動的に利用開始状態に遷移する。鍵の貸出は不要	
会議室貸出業務	会議室貸出管理フロー		バーチャル会議室利用開始		バーチャル会議室利用を開始する	条件	バーチャル会議室利用ポリシー				
会議室貸出業務	会議室貸出管理フロー		バーチャル会議室利用開始		バーチャル会議室利用を開始する	タイマー	利用開始時刻到来				
会議室貸出業務	会議室貸出管理フロー		バーチャル会議室利用終了		バーチャル会議室利用を終了する	情報	会議室利用			バーチャル会議室の利用終了時刻到来で自動的に利用終了状態に遷移する。鍵の返却は不要	
会議室貸出業務	会議室貸出管理フロー		バーチャル会議室利用終了		バーチャル会議室利用を終了する	条件	バーチャル会議室利用ポリシー				
会議室貸出業務	会議室貸出管理フロー		バーチャル会議室利用終了		バーチャル会議室利用を終了する	タイマー	利用終了時刻到来				
会議室利用業務	会議室評価フロー		バーチャル会議室評価登録		バーチャル会議室を評価する	情報	会議室評価			利用者がバーチャル会議室の接続安定性・音質・操作性などを評価登録する	
会議室利用業務	会議室評価フロー		バーチャル会議室評価登録		バーチャル会議室を評価する	画面	会議室評価登録画面	アクター	利用者		
会議室利用業務	会議室評価フロー		バーチャルオーナー評価登録		バーチャル会議室オーナーを評価する	情報	会議室評価			利用者がバーチャル会議室オーナーの対応を評価登録する	
会議室利用業務	会議室評価フロー		バーチャルオーナー評価登録		バーチャル会議室オーナーを評価する	画面	オーナー評価登録画面	アクター	利用者		
