コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
オーナー管理	オーナー	オーナーID、氏名、連絡先、メールアドレス、住所、申請日、承認日、退会日、審査結果	個人情報、規約同意履歴	オーナー登録状態	オーナー審査区分	会議室オーナーの登録・審査・退会を一意に管理するための情報。オーナー申請・審査・承認・退会の全ライフサイクルで参照される
オーナー管理	個人情報	個人情報ID、氏名、生年月日、連絡先、住所、プロフィール文		　		会議室オーナーやユーザに従属するプロフィール情報を管理する。オーナー申請やプロフィール登録・更新で利用される
オーナー管理	規約	規約ID、バージョン、本文、改定日				サービス利用規約を管理し、オーナー登録時の規約参照・同意時に使用される
オーナー管理	規約同意履歴	規約同意ID、オーナーID、規約ID、同意日時				会議室オーナーによる規約同意の履歴を管理し、オーナー申請時の同意必須ポリシーを満たすために使用される
会議室管理	会議室	会議室ID、オーナーID、会議室名、住所、広さ、価格、機能性、貸出可否、登録日	運用ルール、評価	会議室公開状態	会議室機能性区分、会議室広さ区分、料金プラン区分、貸出可否区分	会議室の物件情報を管理する中心情報。登録・公開・検索・照会・貸出・実績集計で利用される
会議室管理	運用ルール	運用ルールID、会議室ID、キャンセルポリシー、貸出可否、設定日			キャンセルポリシー区分、貸出可否区分	会議室ごとの運用ルール（キャンセルポリシー、貸出可否）を管理し、予約変更・取消の可否判定や貸出可否判定に使用される
予約管理	予約	予約ID、会議室ID、利用者ID、利用日時、予約日時、決済手段ID、料金	決済手段	予約状態		利用者による会議室予約を管理する中心情報。予約登録・変更・取消・利用完了確認・利用料算出で利用される
予約管理	決済手段	決済手段ID、利用者ID、決済種別、カード番号、有効期限、登録日		決済状態	決済手段区分	利用者の決済手段を管理し、予約時の決済手段登録および利用料引落時に使用される
貸出管理	貸出	貸出ID、予約ID、会議室ID、利用者ID、オーナーID、カギ貸出日時、カギ返却日時、利用許諾日時		会議室利用状態		会議室貸出のカギ受け渡しから利用終了までを管理する。カギ貸出・受取・返却・利用終了確定のトラッキングに使用される
貸出管理	利用者	利用者ID、氏名、連絡先、メールアドレス、登録日、過去評価	個人情報、評価			会議室利用者を管理するマスター情報。貸出時の使用許諾判定や利用履歴管理、過去評価確認で使用される
評価管理	評価	評価ID、対象種別、対象ID、評価者ID、評価値、コメント、評価日	　	評価状態	評価区分	会議室・オーナー・利用者に対する相互評価を管理する。評価登録・参照・会議室検索での評価表示に使用される
問合せ管理	問合せ	問合せID、問合せ種別、利用者ID、宛先種別、宛先ID、本文、受付日、回答本文、回答日		問合せ状態	問合せ種別	利用者から会議室オーナー・サービス運営者への問合せを管理する。オーナー向け・運営向け問合せを同じ構造で扱い、受付・対応・回答を追跡する
実績管理	利用履歴	利用履歴ID、会議室ID、オーナーID、利用者ID、予約ID、利用日、利用料、手数料、集計日			利用履歴集計区分	会議室利用の履歴を管理し、会議室別・会員別・物件別の実績集計および清算・手数料売上分析の元データとして使用される
実績管理	売上実績	売上実績ID、会議室ID、オーナーID、集計期間、貸出件数、売上金額、集計日				会議室オーナー視点の売上実績を管理し、会議室別・貸出別の売上集計やオーナーによる売上実績参照に使用される
実績管理	手数料売上	手数料売上ID、会議室ID、オーナーID、集計期間、手数料金額、集計日			手数料売上分析区分	サービス運営者の手数料売上を管理し、会議室別・貸出別の手数料売上集計・分析に使用される
清算管理	清算	清算ID、オーナーID、対象期間、清算額、手数料、支払予定日、支払完了日、支払指示日	利用履歴	清算状態	精算区分	会議室オーナーへの月末清算を管理する。利用履歴集計からの清算額算出・承認・決済機関への支払指示・支払結果確認で使用される
