コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
オーナー管理	オーナープロフィール	オーナーID、氏名、連絡先、自己紹介		オーナー申請状態		会議室オーナーの基本情報を管理する
オーナー管理	オーナー申請	申請ID、オーナーID、申請日、審査結果、審査日	オーナープロフィール	オーナー申請状態		オーナー登録の申請内容を管理する
会議室管理	会議室	会議室ID、会議室名、広さ、価格、機能性、住所、オーナーID	オーナープロフィール、運用ルール		会議室機能性	会議室の物件情報を管理する
会議室管理	運用ルール	ルールID、会議室ID、キャンセルポリシー、貸出可否	会議室			会議室ごとの運用条件を管理する
予約管理	予約	予約ID、利用者ID、会議室ID、予約日時、利用開始日時、利用終了日時	会議室、決済情報	予約状態		利用者による会議室の予約情報を管理する
予約管理	決済情報	決済ID、利用者ID、決済方法、カード番号、決済状況		決済方法	利用者の決済手段を管理する
評価管理	会議室評価	評価ID、利用者ID、会議室ID、評価点、コメント、評価日	会議室、予約		評価種別	利用者が会議室とオーナーに対して行った評価を管理する
評価管理	利用者評価	評価ID、オーナーID、利用者ID、評価点、コメント、評価日	予約		評価種別	オーナーが利用者に対して行った評価を管理する
会議室利用管理	鍵	鍵ID、会議室ID、貸出日時、返却日時	会議室、予約	鍵状態		会議室の鍵の受け渡し状況を管理する
会議室利用管理	利用実績	実績ID、会議室ID、予約ID、利用日、利用時間	会議室、予約	会議室利用状態		会議室の利用実績を管理する
売上管理	売上実績	売上ID、オーナーID、会議室ID、売上額、対象月	会議室、利用実績			オーナーの会議室貸出による売上実績を管理する
売上管理	手数料売上	手数料ID、売上額、対象月、会議室ID	利用実績			サービス運営者の手数料売上を管理する
利用管理	利用履歴	履歴ID、利用者ID、会議室ID、利用日、利用時間	利用実績			会員別・物件別の利用履歴を管理する
精算管理	精算情報	精算ID、オーナーID、対象月、精算額、支払日、支払状況	売上実績			オーナーへの精算額の計算結果を管理する
問合せ管理	問合せ	問合せID、送信者ID、受信者ID、件名、内容、回答、送信日時	予約			利用者からオーナーまたは運営担当者への問合せを管理する
