コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
オーナー管理	オーナー		オーナー登録申請を行う	審査待ち	会議室オーナーのライフサイクルを管理する。オーナー登録申請から審査を経て登録済みとなり、却下や退会に遷移する。オーナー審査ポリシーに基づき承認・却下を判断する
オーナー管理	オーナー	審査待ち	オーナー登録を審査する	登録済み	会議室オーナーのライフサイクルを管理する。オーナー登録申請から審査を経て登録済みとなり、却下や退会に遷移する。オーナー審査ポリシーに基づき承認・却下を判断する
オーナー管理	オーナー	審査待ち	オーナー登録を審査する	却下	会議室オーナーのライフサイクルを管理する。オーナー登録申請から審査を経て登録済みとなり、却下や退会に遷移する。オーナー審査ポリシーに基づき承認・却下を判断する
オーナー管理	オーナー	登録済み	退会を申請する	退会	会議室オーナーのライフサイクルを管理する。オーナー登録申請から審査を経て登録済みとなり、却下や退会に遷移する。オーナー審査ポリシーに基づき承認・却下を判断する
オーナー管理	オーナー	却下			会議室オーナーのライフサイクルを管理する。オーナー登録申請から審査を経て登録済みとなり、却下や退会に遷移する。オーナー審査ポリシーに基づき承認・却下を判断する
オーナー管理	オーナー	退会			会議室オーナーのライフサイクルを管理する。オーナー登録申請から審査を経て登録済みとなり、却下や退会に遷移する。オーナー審査ポリシーに基づき承認・却下を判断する
会議室管理	会議室		会議室を登録する	非公開	会議室の公開状態を管理する。登録直後は非公開状態となり、オーナーの操作で公開可能・公開中に遷移する。オーナー退会時は非公開になる
会議室管理	会議室	非公開	会議室の公開状態を変更する	公開可能	会議室の公開状態を管理する。登録直後は非公開状態となり、オーナーの操作で公開可能・公開中に遷移する。オーナー退会時は非公開になる
会議室管理	会議室	公開可能	会議室の公開状態を変更する	公開中	会議室の公開状態を管理する。登録直後は非公開状態となり、オーナーの操作で公開可能・公開中に遷移する。オーナー退会時は非公開になる
会議室管理	会議室	公開中	会議室の公開状態を変更する	非公開	会議室の公開状態を管理する。登録直後は非公開状態となり、オーナーの操作で公開可能・公開中に遷移する。オーナー退会時は非公開になる
会議室管理	会議室	公開可能	会議室の公開状態を変更する	非公開	会議室の公開状態を管理する。登録直後は非公開状態となり、オーナーの操作で公開可能・公開中に遷移する。オーナー退会時は非公開になる
会議室管理	会議室	非公開			会議室の公開状態を管理する。登録直後は非公開状態となり、オーナーの操作で公開可能・公開中に遷移する。オーナー退会時は非公開になる
予約管理	予約		予約を申請する	申請	利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	申請	予約を許諾する	確定	利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	申請	予約を取り消す	取消	利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	確定	予約を変更する	変更	利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	確定	予約を取り消す	取消	利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	変更	予約を許諾する	確定	利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	変更	予約を取り消す	取消	利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	取消			利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
予約管理	予約	確定			利用者による会議室予約の状態を管理する。予約申請からオーナー許諾で確定し、利用者の操作で変更や取消に遷移する。取消時はキャンセルポリシーが適用される
会議室利用管理	会議室利用		鍵の貸出を記録する	利用開始	会議室の利用状態を管理する。物理会議室は鍵の受け渡しをトリガーとして利用開始・終了する。バーチャル会議室は予約確定で利用開始、利用終了時刻到来で利用終了する。バーチャル会議室利用ポリシーに基づく
会議室利用管理	会議室利用		バーチャル会議室利用を開始する	利用開始	会議室の利用状態を管理する。物理会議室は鍵の受け渡しをトリガーとして利用開始・終了する。バーチャル会議室は予約確定で利用開始、利用終了時刻到来で利用終了する。バーチャル会議室利用ポリシーに基づく
