コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
オーナー管理	オーナー情報	オーナーID、氏名、連絡先、メールアドレス、登録日、審査状態、退会日	会議室情報、オーナー精算、売上実績、利用者評価	オーナー		会議室を貸し出すオーナーのプロフィールや登録情報を管理する。オーナーの信頼性担保や審査に利用される
会議室管理	会議室情報	会議室ID、会議室名、会議室種別、所在地、広さ、収容人数、価格、設備・機能、画像、公開状態、会議ツール種別、同時接続数、録画可否	オーナー情報、運用ルール、会議室評価、鍵、予約情報、会議URL	会議室	会議室検索条件、会議室機能性、会議室種別、会議ツール種別	会議室の物件情報（広さ・価格・機能性）およびバーチャル会議室情報（会議ツール種別・同時接続数・録画可否）を管理する。利用者が会議室を検索・選択する際の基本情報となる
会議室管理	運用ルール	ルールID、会議室ID、利用可能時間帯、最低利用時間、最大利用時間、貸出可否	会議室情報、キャンセルポリシー			会議室ごとの利用条件や貸出可否などの運用条件を管理する。予約・利用時のルール適用に使用される
会議室管理	キャンセルポリシー	ポリシーID、会議室ID、キャンセル期限、キャンセル料率、返金ルール	運用ルール、予約情報			予約の取消時に適用されるキャンセル料の発生条件や返金ルールを管理する。予約取消時の精算処理に利用される
会議室管理	鍵	鍵ID、会議室ID、貸出状態、貸出日時、返却日時	会議室情報、会議室利用	鍵		会議室の鍵の貸出・返却状態を管理する。会議室利用の開始・終了を制御するための物理的なインターフェースとなる
予約管理	予約情報	予約ID、利用者ID、会議室ID、会議室種別、予約日時、利用開始日時、利用終了日時、予約状態、決済方法	利用者情報、会議室情報、決済情報、会議室利用、会議URL	予約		利用者の会議室予約内容を管理する。予約の申請・変更・取消の一連のフローで利用される。物理・バーチャル両方の会議室予約に対応する
予約管理	利用者情報	利用者ID、氏名、連絡先、メールアドレス、登録日	予約情報、利用者評価、会議室評価、問合せ、利用履歴			会議室を利用する利用者の基本情報を管理する。予約・利用・評価の主体として各情報と紐づく
決済管理	決済情報	決済ID、予約ID、決済方法、決済状態、決済金額、決済日時	予約情報、精算情報	決済	決済方法	予約時に登録された決済手段（クレジットカード・電子マネー）と利用後の引き落とし状態を管理する。支払精算ポリシーに基づく決済処理に利用される
会議室利用管理	会議室利用	利用ID、予約ID、会議室ID、利用者ID、利用開始日時、利用終了日時、利用状態	予約情報、鍵、利用履歴、会議室評価、利用者評価	会議室利用		会議室の実際の利用状態を管理する。鍵の受け渡しをトリガーとして利用開始・終了を記録する
会議室利用管理	会議室評価	評価ID、利用者ID、会議室ID、オーナーID、会議室種別、評価スコア、コメント、評価日時	会議室情報、利用者情報、オーナー情報、会議室利用		評価種別	利用者が物理会議室およびバーチャル会議室とオーナーに対して登録した評価を管理する。他の利用者の意思決定支援や会議室品質の可視化に利用される
会議室利用管理	利用者評価	評価ID、オーナーID、利用者ID、評価スコア、コメント、評価日時	オーナー情報、利用者情報、会議室利用		評価種別	オーナーが利用者に対して登録した評価を管理する。次回以降の使用許諾判断の参考情報として利用される
問合せ管理	問合せ	問合せID、利用者ID、問合せ先区分、問合せ先ID、問合せ内容、回答内容、問合せ状態、問合せ日時、回答日時	利用者情報、オーナー情報	問合せ	問合せ種別	利用者からオーナーまたはサービス運営担当者への問合せ内容と回答を管理する。利用者対応の履歴として利用される
利用実績管理	利用履歴	履歴ID、利用者ID、会議室ID、利用日時、利用時間、利用料金	利用者情報、会議室情報、会議室利用、精算情報		利用履歴集計区分	会員別・物件別の会議室利用履歴を管理する。利用状況分析やオーナーへの精算計算の基礎データとなる
利用実績管理	売上実績	実績ID、会議室ID、オーナーID、集計期間、利用回数、売上金額	会議室情報、オーナー情報、利用履歴			会議室ごとの利用回数や売上金額の実績を管理する。オーナーの運営改善やサービス全体の収益把握に利用される
精算管理	手数料売上	手数料ID、会議室ID、貸出ID、手数料率、手数料金額、計上日	会議室情報、利用履歴、精算情報		売上分析区分	サービス運営側の手数料売上を会議室別・貸出別に管理する。サービス運営の収益分析に利用される
精算管理	精算情報	精算ID、オーナーID、精算対象月、利用料合計、手数料合計、精算額、精算状態、精算日	オーナー情報、利用履歴、手数料売上、決済情報	精算		会議室利用料からサービス手数料を差し引いたオーナーへの精算額を管理する。月末の精算処理に利用される
精算管理	オーナー精算	精算実行ID、精算ID、決済機関連携ID、支払金額、支払日、支払状態	精算情報、オーナー情報			精算額を決済機関を通じてオーナーへ支払う処理結果を管理する。月末精算の実行記録として利用される
会議室管理	会議URL	会議URL_ID、会議室ID、会議ツール種別、会議URL、有効期限	会議室情報、予約情報			バーチャル会議室の予約確定時に利用者へ通知する会議URLを管理する。オーナーが設定した会議URLを予約確定時に自動通知するために利用される
