コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
オーナー管理	オーナー申請状態	""	""	未申請	オーナーの初期状態
オーナー管理	オーナー申請状態	未申請	オーナー申請する	申請中	オーナーが申請を行う
オーナー管理	オーナー申請状態	申請中	オーナー登録を審査する	審査中	運営担当者が審査を開始する
オーナー管理	オーナー申請状態	審査中	オーナー登録を審査する	承認	審査を通過し承認される
オーナー管理	オーナー申請状態	審査中	オーナー登録を審査する	却下	審査で却下される
オーナー管理	オーナー申請状態	承認	オーナー退会する	退会	承認済みオーナーが退会する
オーナー管理	オーナー申請状態	却下	オーナー申請する	申請中	却下されたオーナーが再申請する
オーナー管理	オーナー申請状態	退会	""	""	退会の終了状態
予約管理	予約状態	""	""	仮予約	予約の初期状態
予約管理	予約状態	仮予約	利用許諾を判定する	確定	オーナーが使用許諾し予約確定
予約管理	予約状態	仮予約	予約を取消する	取消	予約が取り消される
予約管理	予約状態	確定	鍵を貸出する	利用中	鍵を貸し出し利用開始
予約管理	予約状態	確定	予約を変更する	変更	予約内容が変更される
予約管理	予約状態	確定	予約を取消する	取消	確定済み予約が取り消される
予約管理	予約状態	変更	会議室を予約する	確定	変更内容が確定する
予約管理	予約状態	利用中	鍵を返却する	利用完了	鍵を返却し利用終了
予約管理	予約状態	利用完了	""	""	利用完了の終了状態
予約管理	予約状態	取消	""	""	取消の終了状態
問合せ管理	問合せ状態	""	""	受付	問合せの初期状態
問合せ管理	問合せ状態	受付	問合せに回答する	対応中	問合せへの対応を開始する
問合せ管理	問合せ状態	受付	サービス問合せに回答する	対応中	サービス問合せへの対応を開始する
問合せ管理	問合せ状態	対応中	問合せに回答する	回答済	回答を送信する
問合せ管理	問合せ状態	対応中	サービス問合せに回答する	回答済	サービス問合せの回答を送信する
問合せ管理	問合せ状態	回答済	""	完了	利用者が回答を確認し完了
問合せ管理	問合せ状態	完了	""	""	問合せ完了の終了状態
