条件	条件の説明	バリエーション	状態モデル
オーナー登録前規約同意必須	会議室オーナーはオーナー申請を登録する前にサービス利用規約に同意していることを必須とする。規約未同意のまま申請登録は不可		オーナー登録状態
オーナー審査必須	オーナー申請は必ずオーナー管理担当者の審査を経て承認または却下される必要がある。審査結果区分に従いオーナー登録状態を遷移させる	オーナー審査区分	オーナー登録状態
退会時の未清算チェック	会議室オーナーの退会承認時に未清算の清算案件が残っていないことを確認する。未清算が残っている場合は退会を承認できない	精算区分	オーナー登録状態,清算状態
会議室貸出可否判定	会議室が予約および貸出対象となるかを、貸出可否区分と会議室公開状態の組合せで判定する。貸出停止または下書き・削除状態の会議室は予約不可とする	貸出可否区分	会議室公開状態
会議室照会条件	利用者が会議室を検索・照会する際に指定可能な条件の組合せ。広さ区分・機能性区分・料金プラン区分・評価区分などを軸に絞込みを行う	会議室広さ区分,会議室機能性区分,料金プラン区分,評価区分
決済手段事前登録必須	会議室予約を確定する前に利用者は決済手段（クレジットカード、電子マネー）を必ず登録していなければならない	決済手段区分	決済状態
予約変更・取消のポリシー適用	予約の変更・取消可否と返金額は、キャンセルポリシー区分と予約状態の組合せで判定する。オーナーの設定したキャンセルポリシーに従い返金有無・手数料が決まる	キャンセルポリシー区分	予約状態
問合せ分離管理	利用者からの問合せをオーナー向けと運営向けに分離して管理する。問合せ種別と問合せ状態の組合せで対応フローと担当を振り分ける	問合せ種別	問合せ状態
貸出時利用者評価確認	会議室オーナーは貸出前に利用者の過去の評価（評価区分）を確認し使用を許諾する。過去評価が基準を満たさない場合は貸出を拒否できる	評価区分
会議室利用開始成立条件	会議室利用は、会議室オーナーから利用者へカギを貸し出し利用者がカギを受け取った時点で成立する。双方の記録が揃うことが成立条件となる		会議室利用状態
会議室利用終了成立条件	会議室利用は、利用者がカギを返却し会議室オーナーが返却を確認した時点で終了成立する。カギ返却確認をもって予約状態も利用済へ遷移する		会議室利用状態,予約状態
相互評価の成立条件	貸出完了後に会議室オーナーと利用者が相互に評価（会議室・ホスト・利用者）を登録できる。双方の評価成立をもって相互評価が完了する	評価区分	評価状態
評価登録タイミング制約	評価は会議室利用が終了した後にのみ登録可能。利用終了前や予約取消時は評価登録を行えない		会議室利用状態,評価状態
売上・利用履歴のオーナー別管理	会議室別の利用履歴と売上実績をオーナー単位で集計・管理する。清算額算出および実績参照の基礎データとする	利用履歴集計区分
手数料徴収ルール	サービス運営者は会議室別・貸出別の手数料売上を集計し、オーナー清算額から手数料を差し引くルールで徴収する	手数料売上分析区分
清算額算出基準	会議室別の利用履歴から利用料を集計し、手数料を控除してオーナー清算額を算出する。料金プラン区分や精算区分に基づき算出基準を適用する	料金プラン区分,精算区分	清算状態
オーナー清算月末一括	会議室オーナーへの清算は月末に一括で決済機関へ支払指示を送信する。月中の個別支払は行わない	精算区分	清算状態
利用料引落の実行主体	会議室利用後の利用料引落はサービス運営者が実行主体となり、決済機関経由で利用者から引き落とす	決済手段区分	決済状態,予約状態
決済失敗時の取扱い	利用料の引落が失敗した場合は決済状態を失敗とし、再請求やイレギュラー対応を実施する	決済手段区分	決済状態
