ビジネスパラメータ	説明
会議室機能性区分	会議室の備品や設備（プロジェクター、ホワイトボード、Wi-Fi等）を分類し、利用者が条件に合う会議室を検索できるようにするために必要
会議室広さ区分	少人数用・中規模・大規模など利用人数に応じた会議室カテゴリを提供するために必要
料金プラン区分	時間単位・半日・一日など貸出単位による料金体系を区分するために必要
キャンセルポリシー区分	オーナーごとに異なるキャンセル時の返金ルールを分類するために必要
貸出可否区分	会議室が現在貸出可能か停止中かを管理するために必要
決済手段区分	クレジットカード、電子マネーなど利用者が選択可能な支払方法を分類するために必要
評価区分	会議室およびオーナー・利用者に対する評価レベル（星の数等）を分類するために必要
オーナー審査区分	サービス運営担当者がオーナー申請を審査する際の承認・却下・保留などの結果を分類するために必要
問合せ種別	利用者からサービス運営担当者やオーナーへの問合せ内容（トラブル、質問、要望等）を分類するために必要
利用履歴集計区分	会員別・物件別など利用履歴を集計する際の切り口を分類するために必要
手数料売上分析区分	会議室別・貸出別などサービス運営担当者が手数料売上を分析する際の切り口を分類するために必要
精算区分	会議室オーナーへの月末精算の対象・状態を分類するために必要
