コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
オーナー管理	オーナー状態	""	""	未登録	オーナーの初期状態
オーナー管理	オーナー状態	未登録	オーナーを登録する	申請中	オーナーがプロフィールを登録し申請を行う
オーナー管理	オーナー状態	申請中	オーナー申請を審査する	審査中	サービス運営担当者が審査を開始する
オーナー管理	オーナー状態	審査中	オーナー申請を審査する	承認済	審査が承認される
オーナー管理	オーナー状態	審査中	オーナー申請を審査する	却下	審査が却下される
オーナー管理	オーナー状態	却下	オーナー申請する	申請中	却下後に再申請する
オーナー管理	オーナー状態	承認済	オーナー退会する	退会	オーナーが退会する
オーナー管理	オーナー状態	退会	""	""	退会してオーナーのライフサイクルが終了する
予約管理	予約状態	""	""	予約申請中	利用者が予約を申請する
予約管理	予約状態	予約申請中	会議室を予約する	予約確定	予約が確定する
予約管理	予約状態	予約確定	予約を変更する	変更中	利用者が予約変更を申請する
予約管理	予約状態	変更中	予約を変更する	予約確定	予約変更が確定する
予約管理	予約状態	予約申請中	予約を取消する	取消済	利用者が予約を取り消す
予約管理	予約状態	予約確定	予約を取消する	取消済	利用者が確定済みの予約を取り消す
予約管理	予約状態	予約確定	鍵を返却する	利用済	会議室の利用が完了する
予約管理	予約状態	取消済	""	""	取り消されて予約のライフサイクルが終了する
予約管理	予約状態	利用済	""	""	利用完了して予約のライフサイクルが終了する
予約管理	鍵状態	""	""	保管中	鍵の初期状態
予約管理	鍵状態	保管中	鍵を貸し出す	貸出中	オーナーが利用者に鍵を貸し出す
予約管理	鍵状態	貸出中	鍵を返却する	返却済	利用者が鍵を返却する
予約管理	鍵状態	返却済	鍵を貸し出す	保管中	返却された鍵を保管状態に戻す
予約管理	鍵状態	返却済	""	""	鍵の管理が終了する
利用実績管理	会議室利用状態	""	""	利用前	利用者が会議室に到着前の状態
利用実績管理	会議室利用状態	利用前	鍵を貸し出す	利用中	利用者がオーナーから鍵を受け取り利用開始
利用実績管理	会議室利用状態	利用中	鍵を返却する	利用終了	利用者が鍵を返却し利用終了
利用実績管理	会議室利用状態	利用終了	""	""	会議室の利用が完了する
会議室管理	会議室状態	""	""	未公開	会議室登録直後の状態
会議室管理	会議室状態	未公開	会議室を登録する	公開中	オーナーが会議室を公開する
会議室管理	会議室状態	公開中	運用ルールを設定する	貸出停止	オーナーが貸出を停止する
会議室管理	会議室状態	貸出停止	運用ルールを設定する	公開中	オーナーが貸出を再開する
会議室管理	会議室状態	貸出停止	""	""	会議室の管理が終了する
