コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
オーナー管理	オーナー情報	オーナーID、氏名、メールアドレス、電話番号、プロフィール、登録日	サービス規約、会議室情報	オーナー申請状態		会議室オーナーのプロフィール情報を管理する
オーナー管理	サービス規約	規約ID、規約名、規約内容、適用開始日			貸し会議室サービスの利用規約
会議室管理	会議室情報	会議室ID、会議室名、広さ、価格、機能性、所在地、画像	オーナー情報、運用ルール、鍵情報		貸出可否	会議室の物件情報を管理する
会議室管理	運用ルール	ルールID、キャンセルポリシー、貸出可否、利用時間帯	会議室情報			会議室ごとの運用ルールを管理する
会議室管理	鍵情報	鍵ID、鍵種別、貸出状態、貸出日時、返却日時	会議室情報			会議室の鍵の貸出・返却状態を管理する
予約管理	予約情報	予約ID、予約日時、利用開始日時、利用終了日時、決済方法、利用料金	会議室情報、利用者情報	予約状態	決済方法	会議室の予約情報を管理する
予約管理	利用者情報	利用者ID、氏名、メールアドレス、電話番号、登録日	予約情報			利用者のアカウント情報を管理する
評価管理	会議室評価	評価ID、評価者、評価対象、評価点、コメント、評価日	会議室情報、予約情報		評価種別	利用者からの会議室・ホスト評価を管理する
評価管理	利用者評価	評価ID、評価者、評価対象利用者、評価点、コメント、評価日	オーナー情報、予約情報			オーナーが利用者に付けた評価を管理する
問合せ管理	問合せ	問合せID、問合せ種別、問合せ内容、回答内容、問合せ日時、回答日時	予約情報	問合せ状態	問合せ種別	利用者からの問合せと回答を管理する
売上管理	手数料情報	手数料ID、対象期間、会議室ID、手数料率、手数料額	利用履歴			サービス運営の手数料情報を管理する
売上管理	利用履歴	履歴ID、利用者ID、会議室ID、利用日時、利用時間、利用料金	予約情報、会議室情報			会議室の利用履歴を管理する
売上管理	売上実績	売上ID、オーナーID、会議室ID、対象期間、売上金額	利用履歴、オーナー情報			オーナーの会議室別売上実績を管理する
精算管理	精算情報	精算ID、オーナーID、対象期間、利用料合計、手数料、支払額、精算日	売上実績、手数料情報			オーナーへの精算情報を管理する
