業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
オーナー管理業務	オーナー登録フロー	""	規約確認	""	規約を参照する	情報	規約	""	""	会議室オーナーがサービス規約を参照・確認する	""
オーナー管理業務	オーナー登録フロー	""	規約確認	""	規約を参照する	画面	規約参照画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請	""	オーナー登録を申請する	情報	オーナー	""	""	会議室オーナーがオーナー登録申請を行う	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請	""	オーナー登録を申請する	情報	オーナー申請	""	""	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請	""	オーナー登録を申請する	情報	規約	""	""	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請	""	オーナー登録を申請する	条件	オーナー登録条件	""	""	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請	""	オーナー登録を申請する	画面	オーナー登録申請画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	プロフィール登録	""	プロフィールを登録する	情報	プロフィール	""	""	会議室オーナーがプロフィール情報を登録する	""
オーナー管理業務	オーナー登録フロー	""	プロフィール登録	""	プロフィールを登録する	情報	オーナー	""	""	""	""
オーナー管理業務	オーナー登録フロー	""	プロフィール登録	""	プロフィールを登録する	画面	プロフィール登録画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	申請受付	""	オーナー申請を受け付ける	情報	オーナー申請	""	""	サービス運営担当者がオーナー登録申請を受け付ける	""
オーナー管理業務	オーナー登録フロー	""	申請受付	""	オーナー申請を受け付ける	画面	オーナー申請受付画面	アクター	サービス運営担当者	""	""
オーナー管理業務	オーナー退会フロー	""	退会申請	""	退会を申請する	情報	オーナー	""	""	会議室オーナーが退会申請を行う	""
オーナー管理業務	オーナー退会フロー	""	退会申請	""	退会を申請する	条件	オーナー退会条件	""	""	""	""
オーナー管理業務	オーナー退会フロー	""	退会申請	""	退会を申請する	画面	退会申請画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー退会フロー	""	退会処理	""	退会を処理する	情報	オーナー	""	""	サービス運営担当者が退会申請を処理しオーナー状態を退会済にする	""
オーナー管理業務	オーナー退会フロー	""	退会処理	""	退会を処理する	情報	清算	""	""	""	""
オーナー管理業務	オーナー退会フロー	""	退会処理	""	退会を処理する	条件	オーナー退会条件	""	""	""	""
オーナー管理業務	オーナー退会フロー	""	退会処理	""	退会を処理する	画面	退会処理画面	アクター	サービス運営担当者	""	""
オーナー管理業務	オーナー審査フロー	""	審査実施	""	オーナー申請を審査する	情報	オーナー申請	""	""	サービス運営担当者がオーナー登録申請の審査を行い承認または却下する	""
オーナー管理業務	オーナー審査フロー	""	審査実施	""	オーナー申請を審査する	条件	オーナー審査条件	""	""	""	""
オーナー管理業務	オーナー審査フロー	""	審査実施	""	オーナー申請を審査する	画面	オーナー審査画面	アクター	サービス運営担当者	""	""
オーナー管理業務	オーナー審査フロー	""	審査結果確認	""	審査結果を確認する	情報	オーナー申請	""	""	サービス運営担当者が審査結果を確認する	""
オーナー管理業務	オーナー審査フロー	""	審査結果確認	""	審査結果を確認する	画面	審査結果確認画面	アクター	サービス運営担当者	""	""
オーナー管理業務	オーナー審査フロー	""	審査結果受領	""	審査結果を受領する	情報	オーナー申請	""	""	会議室オーナーが審査結果の通知を受け取る	""
オーナー管理業務	オーナー審査フロー	""	審査結果受領	""	審査結果を受領する	画面	審査結果通知画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室登録フロー	""	物件情報登録	""	会議室を登録する	情報	会議室	""	""	会議室オーナーが会議室の広さ・価格・機能性などの物件情報を登録する	""
会議室管理業務	会議室登録フロー	""	物件情報登録	""	会議室を登録する	情報	オーナー	""	""	""	""
会議室管理業務	会議室登録フロー	""	物件情報登録	""	会議室を登録する	条件	会議室登録条件	""	""	""	""
会議室管理業務	会議室登録フロー	""	物件情報登録	""	会議室を登録する	画面	会議室登録画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室登録フロー	""	会議室公開	""	会議室を公開する	情報	会議室	""	""	サービス運営担当者が登録された会議室を公開状態にする	""
会議室管理業務	会議室登録フロー	""	会議室公開	""	会議室を公開する	画面	会議室公開管理画面	アクター	サービス運営担当者	""	""
会議室管理業務	運用ルール設定フロー	""	キャンセルポリシー設定	""	キャンセルポリシーを設定する	情報	運用ルール	""	""	会議室オーナーが会議室ごとのキャンセルポリシーを設定する	""
会議室管理業務	運用ルール設定フロー	""	キャンセルポリシー設定	""	キャンセルポリシーを設定する	情報	会議室	""	""	""	""
会議室管理業務	運用ルール設定フロー	""	キャンセルポリシー設定	""	キャンセルポリシーを設定する	条件	運用ルール設定条件	""	""	""	""
会議室管理業務	運用ルール設定フロー	""	キャンセルポリシー設定	""	キャンセルポリシーを設定する	画面	キャンセルポリシー設定画面	アクター	会議室オーナー	""	""
会議室管理業務	運用ルール設定フロー	""	貸出可否設定	""	貸出可否を設定する	情報	運用ルール	""	""	会議室オーナーが会議室の貸出可否を設定する	""
会議室管理業務	運用ルール設定フロー	""	貸出可否設定	""	貸出可否を設定する	情報	会議室	""	""	""	""
会議室管理業務	運用ルール設定フロー	""	貸出可否設定	""	貸出可否を設定する	条件	運用ルール設定条件	""	""	""	""
会議室管理業務	運用ルール設定フロー	""	貸出可否設定	""	貸出可否を設定する	画面	貸出可否設定画面	アクター	会議室オーナー	""	""
会議室管理業務	運用ルール設定フロー	""	運用ルール反映	""	運用ルールを反映する	情報	運用ルール	""	""	サービス運営担当者が設定された運用ルールをシステムに反映する	""
会議室管理業務	運用ルール設定フロー	""	運用ルール反映	""	運用ルールを反映する	画面	運用ルール反映画面	アクター	サービス運営担当者	""	""
会議室貸出業務	利用者使用許諾フロー	""	利用評価確認	""	利用者の過去の利用評価を確認する	情報	利用者評価	""	""	会議室オーナーが利用者の過去の利用評価を確認する	""
会議室貸出業務	利用者使用許諾フロー	""	利用評価確認	""	利用者の過去の利用評価を確認する	情報	利用者	""	""	""	""
会議室貸出業務	利用者使用許諾フロー	""	利用評価確認	""	利用者の過去の利用評価を確認する	条件	利用者使用許諾条件	""	""	""	""
会議室貸出業務	利用者使用許諾フロー	""	利用評価確認	""	利用者の過去の利用評価を確認する	画面	利用評価確認画面	アクター	会議室オーナー	""	""
会議室貸出業務	利用者使用許諾フロー	""	使用許諾判断	""	使用許諾を判断する	情報	利用者評価	""	""	会議室オーナーが利用者への使用許諾を判断する	""
会議室貸出業務	利用者使用許諾フロー	""	使用許諾判断	""	使用許諾を判断する	情報	予約	""	""	""	""
会議室貸出業務	利用者使用許諾フロー	""	使用許諾判断	""	使用許諾を判断する	条件	利用者使用許諾条件	""	""	""	""
会議室貸出業務	利用者使用許諾フロー	""	使用許諾判断	""	使用許諾を判断する	画面	使用許諾判断画面	アクター	会議室オーナー	""	""
会議室貸出業務	利用者使用許諾フロー	""	許諾結果受領	""	許諾結果を受領する	情報	予約	""	""	利用者が使用許諾の結果を受け取る	""
会議室貸出業務	利用者使用許諾フロー	""	許諾結果受領	""	許諾結果を受領する	画面	許諾結果通知画面	アクター	利用者	""	""
会議室貸出業務	鍵貸出フロー	""	鍵貸出	""	鍵を貸し出す	情報	鍵	""	""	会議室オーナーが利用者に会議室の鍵を貸し出し利用開始状態にする	""
会議室貸出業務	鍵貸出フロー	""	鍵貸出	""	鍵を貸し出す	情報	会議室	""	""	""	""
会議室貸出業務	鍵貸出フロー	""	鍵貸出	""	鍵を貸し出す	条件	鍵受渡しによる利用開始条件	""	""	""	""
会議室貸出業務	鍵貸出フロー	""	鍵貸出	""	鍵を貸し出す	画面	鍵貸出管理画面	アクター	会議室オーナー	""	""
会議室貸出業務	鍵貸出フロー	""	鍵受取	""	鍵を受け取る	情報	鍵	""	""	利用者が会議室オーナーから鍵を受け取り会議室利用を開始する	""
会議室貸出業務	鍵貸出フロー	""	鍵受取	""	鍵を受け取る	条件	鍵受渡しによる利用開始条件	""	""	""	""
会議室貸出業務	鍵貸出フロー	""	鍵受取	""	鍵を受け取る	画面	鍵受取確認画面	アクター	利用者	""	""
会議室貸出業務	鍵貸出フロー	""	鍵返却受付	""	鍵の返却を受け付ける	情報	鍵	""	""	会議室オーナーが利用者から鍵の返却を受け付け利用終了状態にする	""
会議室貸出業務	鍵貸出フロー	""	鍵返却受付	""	鍵の返却を受け付ける	情報	利用実績	""	""	""	""
会議室貸出業務	鍵貸出フロー	""	鍵返却受付	""	鍵の返却を受け付ける	条件	鍵返却による利用終了条件	""	""	""	""
会議室貸出業務	鍵貸出フロー	""	鍵返却受付	""	鍵の返却を受け付ける	画面	鍵返却受付画面	アクター	会議室オーナー	""	""
会議室貸出業務	鍵貸出フロー	""	鍵返却	""	鍵を返却する	情報	鍵	""	""	利用者が会議室オーナーに鍵を返却し会議室利用を終了する	""
会議室貸出業務	鍵貸出フロー	""	鍵返却	""	鍵を返却する	条件	鍵返却による利用終了条件	""	""	""	""
会議室貸出業務	鍵貸出フロー	""	鍵返却	""	鍵を返却する	画面	鍵返却申請画面	アクター	利用者	""	""
会議室貸出業務	利用者問合せ対応フロー	""	問合せ登録	""	会議室オーナーへ問合せを登録する	情報	問合せ	""	""	利用者が会議室オーナーへの問合せを登録する	""
会議室貸出業務	利用者問合せ対応フロー	""	問合せ登録	""	会議室オーナーへ問合せを登録する	条件	問合せ対応条件	""	""	""	""
会議室貸出業務	利用者問合せ対応フロー	""	問合せ登録	""	会議室オーナーへ問合せを登録する	画面	問合せ登録画面	アクター	利用者	""	""
会議室貸出業務	利用者問合せ対応フロー	""	問合せ回答	""	利用者からの問合せに回答する	情報	問合せ	""	""	会議室オーナーが利用者からの問合せに回答する	""
会議室貸出業務	利用者問合せ対応フロー	""	問合せ回答	""	利用者からの問合せに回答する	条件	問合せ対応条件	""	""	""	""
会議室貸出業務	利用者問合せ対応フロー	""	問合せ回答	""	利用者からの問合せに回答する	画面	問合せ回答画面	アクター	会議室オーナー	""	""
会議室予約業務	会議室照会フロー	""	会議室検索	""	会議室を検索する	情報	会議室	""	""	利用者が広さ・価格・機能性・評価の条件で会議室を検索する	""
会議室予約業務	会議室照会フロー	""	会議室検索	""	会議室を検索する	情報	会議室評価	""	""	""	""
会議室予約業務	会議室照会フロー	""	会議室検索	""	会議室を検索する	画面	会議室検索画面	アクター	利用者	""	""
会議室予約業務	会議室照会フロー	""	会議室詳細確認	""	会議室の詳細を確認する	情報	会議室	""	""	利用者が会議室の詳細情報・評価を確認する	""
会議室予約業務	会議室照会フロー	""	会議室詳細確認	""	会議室の詳細を確認する	情報	運用ルール	""	""	""	""
会議室予約業務	会議室照会フロー	""	会議室詳細確認	""	会議室の詳細を確認する	情報	会議室評価	""	""	""	""
会議室予約業務	会議室照会フロー	""	会議室詳細確認	""	会議室の詳細を確認する	画面	会議室詳細画面	アクター	利用者	""	""
会議室予約業務	会議室照会フロー	""	会議室情報提供	""	会議室情報を提供する	情報	会議室	""	""	サービス運営担当者が会議室の検索・照会に必要な情報を提供する	""
会議室予約業務	会議室照会フロー	""	会議室情報提供	""	会議室情報を提供する	画面	会議室情報管理画面	アクター	サービス運営担当者	""	""
会議室予約業務	会議室予約フロー	""	予約申込	""	会議室を予約する	情報	予約	""	""	利用者が会議室の予約を申し込む	""
会議室予約業務	会議室予約フロー	""	予約申込	""	会議室を予約する	情報	会議室	""	""	""	""
会議室予約業務	会議室予約フロー	""	予約申込	""	会議室を予約する	情報	運用ルール	""	""	""	""
会議室予約業務	会議室予約フロー	""	予約申込	""	会議室を予約する	画面	会議室予約画面	アクター	利用者	""	""
会議室予約業務	会議室予約フロー	""	決済手段登録	""	決済手段を登録する	情報	決済	""	""	利用者が予約時にクレジットカードまたは電子マネーの決済手段を登録する	""
会議室予約業務	会議室予約フロー	""	決済手段登録	""	決済手段を登録する	情報	利用者	""	""	""	""
会議室予約業務	会議室予約フロー	""	決済手段登録	""	決済手段を登録する	条件	予約時決済手段登録条件	""	""	""	""
会議室予約業務	会議室予約フロー	""	決済手段登録	""	決済手段を登録する	画面	決済手段登録画面	アクター	利用者	""	""
会議室予約業務	会議室予約フロー	""	決済手段登録	""	決済手段を登録する	イベント	クレジットカード決済連携	外部システム	クレジットカード決済サービス	""	""
会議室予約業務	会議室予約フロー	""	決済手段登録	""	決済手段を登録する	イベント	電子マネー決済連携	外部システム	電子マネー決済サービス	""	""
会議室予約業務	会議室予約フロー	""	予約確定	""	予約を確定する	情報	予約	""	""	サービス運営担当者が予約を確定状態にする	""
会議室予約業務	会議室予約フロー	""	予約確定	""	予約を確定する	画面	予約確定管理画面	アクター	サービス運営担当者	""	""
会議室予約業務	予約変更取消フロー	""	予約変更	""	予約を変更する	情報	予約	""	""	利用者が予約内容の変更を行う	""
会議室予約業務	予約変更取消フロー	""	予約変更	""	予約を変更する	情報	運用ルール	""	""	""	""
会議室予約業務	予約変更取消フロー	""	予約変更	""	予約を変更する	条件	キャンセルポリシー適用条件	""	""	""	""
会議室予約業務	予約変更取消フロー	""	予約変更	""	予約を変更する	画面	予約変更画面	アクター	利用者	""	""
会議室予約業務	予約変更取消フロー	""	予約取消	""	予約を取り消す	情報	予約	""	""	利用者が予約の取消を行いキャンセルポリシーに基づき処理する	""
会議室予約業務	予約変更取消フロー	""	予約取消	""	予約を取り消す	情報	運用ルール	""	""	""	""
会議室予約業務	予約変更取消フロー	""	予約取消	""	予約を取り消す	条件	キャンセルポリシー適用条件	""	""	""	""
会議室予約業務	予約変更取消フロー	""	予約取消	""	予約を取り消す	画面	予約取消画面	アクター	利用者	""	""
会議室予約業務	予約変更取消フロー	""	予約変更取消処理	""	予約変更取消を処理する	情報	予約	""	""	サービス運営担当者が予約の変更または取消を処理し予約状態を更新する	""
会議室予約業務	予約変更取消フロー	""	予約変更取消処理	""	予約変更取消を処理する	画面	予約変更取消処理画面	アクター	サービス運営担当者	""	""
評価管理業務	利用者評価登録フロー	""	利用者評価入力	""	利用者を評価する	情報	利用者評価	""	""	会議室オーナーが利用者の評価を入力・登録する	""
評価管理業務	利用者評価登録フロー	""	利用者評価入力	""	利用者を評価する	情報	利用者	""	""	""	""
評価管理業務	利用者評価登録フロー	""	利用者評価入力	""	利用者を評価する	条件	評価登録条件	""	""	""	""
評価管理業務	利用者評価登録フロー	""	利用者評価入力	""	利用者を評価する	画面	利用者評価入力画面	アクター	会議室オーナー	""	""
評価管理業務	利用者評価登録フロー	""	利用者評価受領	""	利用者評価を受領する	情報	利用者評価	""	""	利用者が会議室オーナーからの評価を受領する	""
評価管理業務	利用者評価登録フロー	""	利用者評価受領	""	利用者評価を受領する	画面	利用者評価通知画面	アクター	利用者	""	""
評価管理業務	会議室評価登録フロー	""	会議室評価入力	""	会議室を評価する	情報	会議室評価	""	""	利用者が利用した会議室とホストの評価を入力・登録する	""
評価管理業務	会議室評価登録フロー	""	会議室評価入力	""	会議室を評価する	情報	会議室	""	""	""	""
評価管理業務	会議室評価登録フロー	""	会議室評価入力	""	会議室を評価する	情報	オーナー	""	""	""	""
