コンテキスト	条件	条件の説明	バリエーション	状態モデル
オーナー	オーナー登録条件	オーナー登録時にサービス規約への同意が必要である。規約確認を完了しなければオーナー申請できない		オーナー申請
オーナー	オーナー審査条件	オーナー登録申請はサービス運営担当者による審査を通過しなければならない	オーナー審査結果	オーナー申請、オーナー
会議室	会議室登録条件	会議室登録時に物件情報（広さ、価格、機能性）が必須入力である	会議室照会条件	会議室
会議室	運用ルール設定条件	会議室にはキャンセルポリシーおよび貸出可否の運用ルールを設定しなければならない		会議室
予約	利用者使用許諾条件	会議室の貸出時にオーナーが利用者の過去の利用評価を確認し、使用許諾を判断する		予約
決済	予約時決済手段登録条件	会議室の予約時に決済手段（クレジットカードまたは電子マネー）の登録が必須である	決済方法	決済
鍵	鍵受渡しによる利用開始条件	利用者が会議室に行きオーナーから鍵を受け取った時点で会議室利用が開始となる	鍵状態	鍵、会議室利用
鍵	鍵返却による利用終了条件	利用者が鍵を返却した時点で会議室の利用が終了となる	鍵状態	鍵、会議室利用
決済	利用後引落し条件	会議室利用後にサービス運営者が利用料を利用者から引き落とす		決済
決済	月末オーナー精算条件	月末に会議室オーナーに対して利用料が支払われる	精算サイクル	決済
会議室	評価登録条件	利用者は利用した会議室およびそのオーナーに対して評価を登録できる	会議室評価主体
予約	キャンセルポリシー適用条件	予約の変更・取消時に会議室に設定されたキャンセルポリシーに従う	予約操作種別	予約
決済	手数料計算条件	サービス運営者は会議室利用料から手数料を差し引いてオーナーに精算する	売上分析軸	決済
オーナー	オーナー退会条件	オーナーが退会する場合、未精算の利用料がすべて精算済みでなければならない		オーナー
問合せ	問合せ対応条件	利用者からの問合せに対して会議室オーナーまたはサービス運営担当者が回答する責務がある	アクター種別	問合せ
