業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	情報	オーナー情報	""	""	オーナーがプロフィール情報を入力し登録する	""
オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	画面	オーナー登録画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	情報	オーナー申請	""	""	オーナーが規約を確認する	""
オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	画面	規約確認画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	情報	オーナー申請	""	""	オーナーが申請を提出する	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	画面	オーナー申請画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー申請を審査する	情報	オーナー申請	""	""	サービス運営担当者がオーナー申請を審査し承認または却下する	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー申請を審査する	条件	オーナー審査基準	""	""	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー申請を審査する	画面	オーナー審査画面	アクター	サービス運営担当者	""	""
オーナー管理業務	オーナー退会フロー	""	退会を申請する	""	オーナー退会する	情報	オーナー情報	""	""	オーナーが退会申請を行いアカウントを退会状態にする	""
オーナー管理業務	オーナー退会フロー	""	退会を申請する	""	オーナー退会する	画面	オーナー退会画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	情報	会議室情報	""	""	オーナーが会議室の物件情報を登録する	""
会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	画面	会議室登録画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	情報	運用ルール	""	""	オーナーがキャンセルポリシーと貸出可否を設定する	""
会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	条件	キャンセルポリシー	""	""	""	""
会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	画面	運用ルール設定画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室評価確認フロー	""	評価を確認する	""	会議室評価を確認する	情報	会議室評価	""	""	オーナーが利用者からの会議室評価を確認する	""
会議室管理業務	会議室評価確認フロー	""	評価を確認する	""	会議室評価を確認する	画面	会議室評価一覧画面	アクター	会議室オーナー	""	""
会議室貸出業務	会議室貸出フロー	""	予約内容を確認する	""	利用者使用許諾する	情報	予約情報	""	""	オーナーが利用者の過去評価を確認し貸出可否を判断する	""
会議室貸出業務	会議室貸出フロー	""	予約内容を確認する	""	利用者使用許諾する	情報	利用者評価	""	""	""	""
会議室貸出業務	会議室貸出フロー	""	予約内容を確認する	""	利用者使用許諾する	条件	利用者許諾条件	""	""	""	""
