ビジネスパラメータ	説明
決済方法	会議室予約時に利用者が選択する決済手段の種別（クレジットカード、電子マネー）
会議室評価	利用者が会議室利用後に登録する評価の区分（会議室評価、ホスト評価）
利用者評価	オーナーが利用者に対して登録する評価の区分
オーナー審査ステータス	オーナー登録申請に対するサービス運営担当者の審査状態（審査中、承認、却下）
予約ステータス	会議室予約の状態区分（予約済、変更済、取消済、利用済）
会議室貸出可否	オーナーが設定する会議室の貸出可否区分（貸出可、貸出不可）
キャンセルポリシー種別	オーナーが会議室に設定するキャンセル時の取り扱いルールの種別
会議室利用ステータス	会議室の利用状態を表す区分（鍵受取前、利用中、利用終了）
清算ステータス	オーナーへの月次清算の状態区分（未清算、清算済）
問合せ種別	問合せの種別（会議室オーナーへの問合せ、サービス運営への問合せ）
問合せステータス	問合せの対応状態（未対応、対応中、対応済）
手数料区分	サービス運営者が徴収する手数料の分類（会議室別、貸出別）
分析期間区分	売上実績や利用状況を分析する際の期間の区分（日次、月次）
会員種別	サービスに登録する会員の種別（会議室オーナー、利用者）
