	貸し会議室サービス
A	アクター
C	アクター群	アクター	説明
B	会議室提供者	会議室オーナー	役割:会議室を所有し、貸し出しを行う。会議室の登録・管理・利用者の許諾・鍵の貸出・利用者評価を行う / 社内外:社外 / 立場:提供者
B	サービス運営組織	サービス運営担当者	役割:貸し会議室サービスの運営管理を行う。オーナー審査・手数料売上分析・利用状況管理・問合せ対応・精算を行う / 社内外:社内 / 立場:提供者 / 主担当業務:サービス運営管理フロー、利用状況管理フロー
B	会議室利用者	利用者	役割:貸し会議室を検索・予約・利用し、会議室とホストの評価を行う / 社内外:社外 / 立場:受益者
A	外部システム
C	外部システム群	外部システム	説明
B	決済	決済機関	会議室オーナーへの精算（利用料の支払い）および利用者からの利用料引き落としに使用する
A	情報
C	コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
B	オーナー管理	オーナー情報	オーナーID、氏名、メールアドレス、電話番号、プロフィール、登録日	オーナー申請	オーナー状態		会議室オーナーの登録情報。プロフィール、申請状態を管理する
B	オーナー管理	オーナー申請	申請ID、オーナーID、申請日、審査結果、審査日、規約確認日	オーナー情報			オーナー登録申請の情報。規約確認状態と審査結果を含む
B	会議室管理	会議室情報	会議室ID、会議室名、所在地、広さ、価格、機能性、オーナーID	オーナー情報、運用ルール、会議室評価	会議室状態		会議室の物件情報。広さ、価格、機能性を管理する
B	会議室管理	運用ルール	ルールID、会議室ID、キャンセルポリシー、貸出可否、最低利用時間	会議室情報			会議室の運用ルール。キャンセルポリシーと貸出可否を管理する
B	予約管理	予約情報	予約ID、利用者ID、会議室ID、予約日時、利用開始日時、利用終了日時、決済方法	会議室情報、決済情報、利用者評価	予約状態	決済方法	会議室の予約情報。利用者、会議室、日時、決済方法を管理する
B	予約管理	鍵	鍵ID、会議室ID、鍵種別	会議室情報	鍵状態		会議室の鍵の管理情報。貸出状態を管理する
B	評価管理	利用者評価	評価ID、オーナーID、利用者ID、予約ID、評価点、コメント、評価日	予約情報、オーナー情報		評価種別	オーナーが利用者に対して登録する評価情報
B	評価管理	会議室評価	評価ID、利用者ID、会議室ID、予約ID、会議室評価点、ホスト評価点、コメント、評価日	予約情報、会議室情報		評価種別	利用者が会議室とホストに対して登録する評価情報
B	問合せ管理	問合せ	問合せID、送信者ID、宛先種別、宛先ID、件名、内容、回答、問合せ日、回答日	予約情報		問合せ種別	利用者からの問合せ情報。オーナーまたはサービス運営担当者への質問と回答を管理する
B	利用実績管理	利用実績	実績ID、会議室ID、予約ID、利用日時、利用時間、利用料金	予約情報、会議室情報	会議室利用状態		会議室の利用実績情報。利用履歴を管理する
B	利用実績管理	売上実績	売上ID、会議室ID、オーナーID、月、売上金額、手数料金額	利用実績、オーナー情報			会議室の売上実績情報。オーナーの収益を管理する
B	精算管理	手数料売上	手数料ID、会議室ID、予約ID、手数料金額、手数料率	利用実績		売上分析軸	サービス運営の手数料売上情報。会議室別・貸出別の手数料を管理する
B	精算管理	精算情報	精算ID、オーナーID、精算月、精算金額、支払日、支払状態	売上実績、オーナー情報			オーナーへの精算情報。月末の利用料支払い額を管理する
B	決済管理	決済情報	決済ID、利用者ID、決済方法、カード番号、電子マネーID、登録日	予約情報		決済方法	決済手段の情報。クレジットカード・電子マネーの登録情報を管理する
B	利用状況管理	利用履歴	履歴ID、利用者ID、会議室ID、利用日時、利用時間	利用実績		利用履歴分析軸	サービス全体の利用履歴。会員別・物件別の利用状況を管理する
A	状態
C	コンテキスト	状態モデル	状態	遷移UC	遷移先状態	状態モデル・状態の説明
B	オーナー管理	オーナー状態	""	""	未登録	オーナーの初期状態
B	オーナー管理	オーナー状態	未登録	オーナーを登録する	申請中	オーナーがプロフィールを登録し申請を行う
B	オーナー管理	オーナー状態	申請中	オーナー申請を審査する	審査中	サービス運営担当者が審査を開始する
B	オーナー管理	オーナー状態	審査中	オーナー申請を審査する	承認済	審査が承認される
B	オーナー管理	オーナー状態	審査中	オーナー申請を審査する	却下	審査が却下される
B	オーナー管理	オーナー状態	却下	オーナー申請する	申請中	却下後に再申請する
B	オーナー管理	オーナー状態	承認済	オーナー退会する	退会	オーナーが退会する
B	オーナー管理	オーナー状態	退会	""	""	退会してオーナーのライフサイクルが終了する
B	予約管理	予約状態	""	""	予約申請中	利用者が予約を申請する
B	予約管理	予約状態	予約申請中	会議室を予約する	予約確定	予約が確定する
B	予約管理	予約状態	予約確定	予約を変更する	変更中	利用者が予約変更を申請する
B	予約管理	予約状態	変更中	予約を変更する	予約確定	予約変更が確定する
B	予約管理	予約状態	予約申請中	予約を取消する	取消済	利用者が予約を取り消す
B	予約管理	予約状態	予約確定	予約を取消する	取消済	利用者が確定済みの予約を取り消す
B	予約管理	予約状態	予約確定	鍵を返却する	利用済	会議室の利用が完了する
B	予約管理	予約状態	取消済	""	""	取り消されて予約のライフサイクルが終了する
B	予約管理	予約状態	利用済	""	""	利用完了して予約のライフサイクルが終了する
B	予約管理	鍵状態	""	""	保管中	鍵の初期状態
B	予約管理	鍵状態	保管中	鍵を貸し出す	貸出中	オーナーが利用者に鍵を貸し出す
B	予約管理	鍵状態	貸出中	鍵を返却する	返却済	利用者が鍵を返却する
B	予約管理	鍵状態	返却済	鍵を貸し出す	保管中	返却された鍵を保管状態に戻す
B	予約管理	鍵状態	返却済	""	""	鍵の管理が終了する
B	利用実績管理	会議室利用状態	""	""	利用前	利用者が会議室に到着前の状態
B	利用実績管理	会議室利用状態	利用前	鍵を貸し出す	利用中	利用者がオーナーから鍵を受け取り利用開始
B	利用実績管理	会議室利用状態	利用中	鍵を返却する	利用終了	利用者が鍵を返却し利用終了
B	利用実績管理	会議室利用状態	利用終了	""	""	会議室の利用が完了する
B	会議室管理	会議室状態	""	""	未公開	会議室登録直後の状態
B	会議室管理	会議室状態	未公開	会議室を登録する	公開中	オーナーが会議室を公開する
B	会議室管理	会議室状態	公開中	運用ルールを設定する	貸出停止	オーナーが貸出を停止する
B	会議室管理	会議室状態	貸出停止	運用ルールを設定する	公開中	オーナーが貸出を再開する
B	会議室管理	会議室状態	貸出停止	""	""	会議室の管理が終了する
A	条件
C	コンテキスト	条件	条件の説明	バリエーション	状態モデル
B	予約管理	利用者許諾条件	過去の利用評価に基づきオーナーが利用者の使用許諾を判断する		
B	会議室管理	キャンセルポリシー	会議室の予約取消に関するルール。取消期限や手数料を定義する		予約状態
B	オーナー管理	オーナー審査基準	オーナー登録申請の審査基準。サービス運営担当者が申請を審査する際の判断基準		オーナー状態
B	精算管理	精算ルール	月末に会議室別の利用履歴から精算額を算出するルール		
A	バリエーション
C	コンテキスト	バリエーション	値	説明
B	予約管理	決済方法	クレジットカード、電子マネー	予約時に設定する決済方法の種類
B	問合せ管理	問合せ種別	会議室オーナー宛、サービス運営宛	問合せの宛先による分類
B	評価管理	評価種別	会議室評価、ホスト評価、利用者評価	評価の対象による分類
B	精算管理	売上分析軸	会議室別、貸出別	手数料売上の分析軸
B	利用状況管理	利用履歴分析軸	会員別、物件別	利用履歴の管理・分析軸
A	BUC
C	業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明
B	オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	情報	オーナー情報	""	""	オーナーがプロフィール情報を入力し登録する
B	オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	画面	オーナー登録画面	アクター	会議室オーナー	""
B	オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	情報	オーナー申請	""	""	オーナーが規約を確認する
B	オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	画面	規約確認画面	アクター	会議室オーナー	""
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	情報	オーナー申請	""	""	オーナーが申請を提出する
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	画面	オーナー申請画面	アクター	会議室オーナー	""
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー申請を審査する	情報	オーナー申請	""	""	サービス運営担当者がオーナー申請を審査し承認または却下する
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー申請を審査する	条件	オーナー審査基準	""	""	""
B	オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー申請を審査する	画面	オーナー審査画面	アクター	サービス運営担当者	""
B	オーナー管理業務	オーナー退会フロー	""	退会を申請する	""	オーナー退会する	情報	オーナー情報	""	""	オーナーが退会申請を行いアカウントを退会状態にする
B	オーナー管理業務	オーナー退会フロー	""	退会を申請する	""	オーナー退会する	画面	オーナー退会画面	アクター	会議室オーナー	""
B	会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	情報	会議室情報	""	""	オーナーが会議室の物件情報を登録する
B	会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	画面	会議室登録画面	アクター	会議室オーナー	""
B	会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	情報	運用ルール	""	""	オーナーがキャンセルポリシーと貸出可否を設定する
B	会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	条件	キャンセルポリシー	""	""	""
B	会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	画面	運用ルール設定画面	アクター	会議室オーナー	""
B	会議室管理業務	会議室評価確認フロー	""	評価を確認する	""	会議室評価を確認する	情報	会議室評価	""	""	オーナーが利用者からの会議室評価を確認する
B	会議室管理業務	会議室評価確認フロー	""	評価を確認する	""	会議室評価を確認する	画面	会議室評価一覧画面	アクター	会議室オーナー	""
B	会議室貸出業務	会議室貸出フロー	""	予約内容を確認する	""	利用者使用許諾する	情報	予約情報	""	""	オーナーが利用者の過去評価を確認し貸出可否を判断する
B	会議室貸出業務	会議室貸出フロー	""	予約内容を確認する	""	利用者使用許諾する	情報	利用者評価	""	""	""
B	会議室貸出業務	会議室貸出フロー	""	予約内容を確認する	""	利用者使用許諾する	条件	利用者許諾条件	""	""	""
B	会議室貸出業務	会議室貸出フロー	""	予約内容を確認する	""	利用者使用許諾する	画面	利用者許諾画面	アクター	会議室オーナー	""
B	会議室貸出業務	会議室貸出フロー	""	鍵を貸し出す	""	鍵を貸し出す	情報	鍵	""	""	オーナーが利用者に鍵を渡し貸出を記録する
B	会議室貸出業務	会議室貸出フロー	""	鍵を貸し出す	""	鍵を貸し出す	画面	鍵管理画面	アクター	会議室オーナー	""
B	会議室貸出業務	会議室貸出フロー	""	鍵を返却する	""	鍵を返却する	情報	鍵	""	""	利用者から鍵を返却し利用終了を記録する
B	会議室貸出業務	会議室貸出フロー	""	鍵を返却する	""	鍵を返却する	画面	鍵返却画面	アクター	会議室オーナー	""
B	会議室貸出業務	会議室貸出フロー	""	利用者を評価する	""	利用者評価を登録する	情報	利用者評価	""	""	オーナーが利用者の評価を登録する
B	会議室貸出業務	会議室貸出フロー	""	利用者を評価する	""	利用者評価を登録する	画面	利用者評価登録画面	アクター	会議室オーナー	""
B	会議室貸出業務	問合せ対応フロー	""	問合せを送信する	""	問合せを送信する	情報	問合せ	""	""	利用者がオーナーへ問合せを送信する
B	会議室貸出業務	問合せ対応フロー	""	問合せを送信する	""	問合せを送信する	画面	問合せ送信画面	アクター	利用者	""
B	会議室貸出業務	問合せ対応フロー	""	問合せに回答する	""	問合せに回答する	情報	問合せ	""	""	オーナーが利用者の問合せに回答する
B	会議室貸出業務	問合せ対応フロー	""	問合せに回答する	""	問合せに回答する	画面	問合せ回答画面	アクター	会議室オーナー	""
B	会議室予約業務	会議室予約フロー	""	会議室を検索する	""	会議室を照会する	情報	会議室情報	""	""	利用者が条件で会議室を検索する
B	会議室予約業務	会議室予約フロー	""	会議室を検索する	""	会議室を照会する	情報	会議室評価	""	""	""
B	会議室予約業務	会議室予約フロー	""	会議室を検索する	""	会議室を照会する	画面	会議室検索画面	アクター	利用者	""
B	会議室予約業務	会議室予約フロー	""	会議室を予約する	""	会議室を予約する	情報	予約情報	""	""	利用者が会議室を選択し予約と決済方法を設定する
B	会議室予約業務	会議室予約フロー	""	会議室を予約する	""	会議室を予約する	情報	決済情報	""	""	""
B	会議室予約業務	会議室予約フロー	""	会議室を予約する	""	会議室を予約する	画面	会議室予約画面	アクター	利用者	""
B	会議室予約業務	予約変更取消フロー	""	予約を変更する	""	予約を変更する	情報	予約情報	""	""	利用者が予約内容を変更する
B	会議室予約業務	予約変更取消フロー	""	予約を変更する	""	予約を変更する	画面	予約変更画面	アクター	利用者	""
B	会議室予約業務	予約変更取消フロー	""	予約を取り消す	""	予約を取消する	情報	予約情報	""	""	利用者が予約を取り消す
B	会議室予約業務	予約変更取消フロー	""	予約を取り消す	""	予約を取消する	条件	キャンセルポリシー	""	""	""
B	会議室予約業務	予約変更取消フロー	""	予約を取り消す	""	予約を取消する	画面	予約取消画面	アクター	利用者	""
B	評価管理業務	評価登録フロー	""	評価を入力する	""	評価を登録する	情報	会議室評価	""	""	利用者が利用した会議室とホストの評価を登録する
B	評価管理業務	評価登録フロー	""	評価を入力する	""	評価を登録する	画面	評価登録画面	アクター	利用者	""
B	利用実績管理業務	利用実績管理フロー	""	利用実績を確認する	""	利用実績を確認する	情報	利用実績	""	""	オーナーが会議室の利用実績を確認する
B	利用実績管理業務	利用実績管理フロー	""	利用実績を確認する	""	利用実績を確認する	画面	利用実績確認画面	アクター	会議室オーナー	""
B	利用実績管理業務	利用実績管理フロー	""	売上実績を確認する	""	売上実績を確認する	情報	売上実績	""	""	オーナーが売上実績を確認する
B	利用実績管理業務	利用実績管理フロー	""	売上実績を確認する	""	売上実績を確認する	画面	売上実績確認画面	アクター	会議室オーナー	""
B	サービス運営業務	サービス運営管理フロー	""	手数料売上を分析する	""	手数料売上を分析する	情報	手数料売上	""	""	サービス運営担当者が手数料売上を分析する
B	サービス運営業務	サービス運営管理フロー	""	手数料売上を分析する	""	手数料売上を分析する	画面	手数料売上分析画面	アクター	サービス運営担当者	""
B	サービス運営業務	利用状況管理フロー	""	利用履歴を管理する	""	利用履歴を管理する	情報	利用履歴	""	""	サービス運営担当者が利用履歴を管理する
B	サービス運営業務	利用状況管理フロー	""	利用履歴を管理する	""	利用履歴を管理する	画面	利用履歴管理画面	アクター	サービス運営担当者	""
B	サービス運営業務	利用状況管理フロー	""	利用状況を分析する	""	利用状況を分析する	情報	利用履歴	""	""	サービス運営担当者が利用状況を分析する
B	サービス運営業務	利用状況管理フロー	""	利用状況を分析する	""	利用状況を分析する	画面	利用状況分析画面	アクター	サービス運営担当者	""
B	サービス運営業務	サービス問合せ対応フロー	""	サービスへの問合せを送信する	""	サービス問合せを送信する	情報	問合せ	""	""	利用者がサービスに関する問合せを送信する
B	サービス運営業務	サービス問合せ対応フロー	""	サービスへの問合せを送信する	""	サービス問合せを送信する	画面	サービス問合せ画面	アクター	利用者	""
B	サービス運営業務	サービス問合せ対応フロー	""	サービス問合せに対応する	""	サービス問合せに対応する	情報	問合せ	""	""	サービス運営担当者が問合せに対応する
B	サービス運営業務	サービス問合せ対応フロー	""	サービス問合せに対応する	""	サービス問合せに対応する	画面	サービス問合せ対応画面	アクター	サービス運営担当者	""
B	精算業務	オーナー精算フロー	""	精算内容を確認する	""	精算内容を確認する	情報	精算情報	""	""	オーナーが精算額を確認する
B	精算業務	オーナー精算フロー	""	精算内容を確認する	""	精算内容を確認する	画面	精算確認画面	アクター	会議室オーナー	""
B	精算業務	オーナー精算フロー	""	精算処理を実行する	""	オーナー精算を実行する	情報	精算情報	""	""	サービス運営担当者が月末精算処理を実行しオーナーに支払う
B	精算業務	オーナー精算フロー	""	精算処理を実行する	""	オーナー精算を実行する	情報	利用実績	""	""	""
B	精算業務	オーナー精算フロー	""	精算処理を実行する	""	オーナー精算を実行する	条件	精算ルール	""	""	""
B	精算業務	オーナー精算フロー	""	精算処理を実行する	""	オーナー精算を実行する	イベント	精算依頼	外部システム	決済機関	""
B	精算業務	オーナー精算フロー	""	精算処理を実行する	""	オーナー精算を実行する	画面	精算実行画面	アクター	サービス運営担当者	""
