状態モデル	状態	遷移先状態	説明
オーナー	start	申請中	会議室オーナーが登録申請を行い、審査プロセスが開始される
オーナー	申請中	審査中	サービス運営担当者がオーナー登録申請の審査を開始する
オーナー	審査中	承認済	サービス運営担当者が審査を完了しオーナーとして承認する
オーナー	審査中	申請中	審査の結果、差し戻しとなり再申請が必要になる
オーナー	承認済	退会済	承認済のオーナーがサービスから退会する
オーナー	退会済	end	オーナーが退会しライフサイクルが終了する
会議室	start	未公開	オーナーが会議室を登録し、まだ公開されていない状態になる
会議室	未公開	公開中	オーナーが会議室情報と運用ルールを設定し公開する
会議室	公開中	貸出停止	オーナーが貸出可否設定により貸出を停止する
会議室	貸出停止	公開中	オーナーが貸出停止を解除し再び公開する
会議室	公開中	未公開	オーナーが公開中の会議室を非公開にする
会議室	貸出停止	未公開	オーナーが貸出停止中の会議室を非公開にする
会議室	未公開	end	会議室が削除されライフサイクルが終了する
予約	start	仮予約	利用者が会議室を予約し決済手段を登録する
予約	仮予約	確定	オーナーが利用者の使用許諾を判断し予約が確定する
予約	確定	変更中	利用者が確定済みの予約の変更を申請する
予約	変更中	確定	予約変更が完了し再び確定状態になる
予約	仮予約	取消済	利用者が仮予約を取り消す
予約	確定	取消済	利用者がキャンセルポリシーに基づき確定済みの予約を取り消す
予約	変更中	取消済	変更中の予約を取り消す
予約	確定	完了	会議室利用が終了し予約が完了する
予約	取消済	end	予約が取り消されライフサイクルが終了する
予約	完了	end	予約が完了しライフサイクルが終了する
鍵	start	保管中	会議室に鍵が登録され保管状態になる
鍵	保管中	貸出中	オーナーが利用者に鍵を貸し出し会議室利用が開始される
鍵	貸出中	返却済	利用者が鍵を返却し会議室利用が終了する
鍵	返却済	保管中	返却された鍵が再び保管状態に戻る
鍵	返却済	end	鍵が廃棄されライフサイクルが終了する
決済	start	未決済	予約時に決済手段が登録され未決済状態になる
決済	未決済	決済登録済	利用者が予約時に決済手段（クレジットカード・電子マネー）を登録する
決済	決済登録済	引落済	会議室利用後にサービス運営者が利用者から利用料を引き落とす
決済	引落済	精算済	月末に会議室別の利用履歴からオーナーへの精算額を決済機関経由で支払う
決済	精算済	end	精算が完了し決済ライフサイクルが終了する
会議室利用	start	利用前	予約が確定し会議室利用の準備状態になる
会議室利用	利用前	利用中	利用者が会議室オーナーから鍵を受け取り利用を開始する
会議室利用	利用中	利用終了	利用者が鍵を返却し会議室利用が終了する
会議室利用	利用終了	end	会議室利用が終了しライフサイクルが終了する
オーナー申請	start	下書き	オーナーが申請の入力を開始する
オーナー申請	下書き	申請済	オーナーが規約を確認しプロフィールを登録して申請を提出する
オーナー申請	申請済	審査中	サービス運営担当者が申請の審査を開始する
オーナー申請	審査中	承認	審査の結果オーナーとして承認される
オーナー申請	審査中	却下	審査の結果申請が却下される
オーナー申請	却下	下書き	却下された申請を修正して再申請する
オーナー申請	承認	end	申請が承認されオーナー登録が完了する
オーナー申請	却下	end	却下された申請が再申請されずに終了する
問合せ	start	受付済	利用者からオーナーまたはサービス運営への問合せが受け付けられる
問合せ	受付済	対応中	問合せの担当者が対応を開始する
問合せ	対応中	回答済	担当者が問合せに回答する
問合せ	回答済	クローズ	問合せが解決しクローズされる
問合せ	回答済	対応中	回答後に追加の問合せがあり再度対応を開始する
問合せ	クローズ	end	問合せが完了しライフサイクルが終了する
