業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	情報	サービス規約	""	""	サービス規約の内容を確認する	""
オーナー管理業務	オーナー登録フロー	""	規約を確認する	""	規約を参照する	画面	規約参照画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	情報	オーナー情報	""	""	オーナーのプロフィール情報を入力し登録する	""
オーナー管理業務	オーナー登録フロー	""	オーナー情報を入力する	""	オーナーを登録する	画面	オーナー登録画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	情報	オーナー情報	""	""	サービスへの参加申請を行う	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を行う	""	オーナー申請する	画面	オーナー申請画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー登録を審査する	情報	オーナー情報	""	""	オーナー申請を審査し承認または却下する	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー登録を審査する	条件	オーナー審査条件	""	""	""	""
オーナー管理業務	オーナー登録フロー	""	オーナー申請を審査する	""	オーナー登録を審査する	画面	オーナー審査画面	アクター	サービス運営担当者	""	""
オーナー管理業務	オーナー退会フロー	""	退会手続きを行う	""	オーナー退会する	情報	オーナー情報	""	""	オーナーの退会手続きを行う	""
オーナー管理業務	オーナー退会フロー	""	退会手続きを行う	""	オーナー退会する	画面	退会申請画面	アクター	会議室オーナー	""	""
オーナー管理業務	オーナー退会フロー	""	退会を処理する	""	退会を処理する	情報	オーナー情報	""	""	退会申請の確認と処理を行う	""
オーナー管理業務	オーナー退会フロー	""	退会を処理する	""	退会を処理する	画面	退会処理画面	アクター	サービス運営担当者	""	""
会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	情報	会議室情報	""	""	会議室の物件情報を登録する	""
会議室管理業務	会議室登録フロー	""	会議室情報を入力する	""	会議室を登録する	画面	会議室登録画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	情報	運用ルール	""	""	キャンセルポリシーや貸出可否を設定する	""
会議室管理業務	会議室登録フロー	""	運用ルールを設定する	""	運用ルールを設定する	画面	運用ルール設定画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室登録フロー	""	評価を確認する	""	会議室評価を確認する	情報	会議室評価	""	""	利用者からの評価一覧を確認する	""
会議室管理業務	会議室登録フロー	""	評価を確認する	""	会議室評価を確認する	画面	評価確認画面	アクター	会議室オーナー	""	""
会議室管理業務	会議室登録フロー	""	プロフィールを管理する	""	プロフィールを編集する	情報	オーナー情報	""	""	オーナーのプロフィール情報を編集する	""
会議室管理業務	会議室登録フロー	""	プロフィールを管理する	""	プロフィールを編集する	画面	プロフィール編集画面	アクター	会議室オーナー	""	""
予約業務	会議室予約フロー	""	会議室を探す	""	会議室を照会する	情報	会議室情報	""	""	広さ・価格・機能性・評価で会議室を検索する	""
予約業務	会議室予約フロー	""	会議室を探す	""	会議室を照会する	情報	会議室評価	""	""	""	""
予約業務	会議室予約フロー	""	会議室を探す	""	会議室を照会する	画面	会議室検索画面	アクター	利用者	""	""
予約業務	会議室予約フロー	""	予約を行う	""	会議室を予約する	情報	予約情報	""	""	会議室の予約と決済方法の設定を行う	""
予約業務	会議室予約フロー	""	予約を行う	""	会議室を予約する	情報	会議室情報	""	""	""	""
予約業務	会議室予約フロー	""	予約を行う	""	会議室を予約する	画面	予約申込画面	アクター	利用者	""	""
予約業務	会議室予約フロー	""	予約を変更する	""	予約を変更する	情報	予約情報	""	""	予約内容の変更を行う	""
予約業務	会議室予約フロー	""	予約を変更する	""	予約を変更する	条件	予約変更条件	""	""	""	""
予約業務	会議室予約フロー	""	予約を変更する	""	予約を変更する	画面	予約変更画面	アクター	利用者	""	""
予約業務	会議室予約フロー	""	予約を取り消す	""	予約を取消する	情報	予約情報	""	""	予約の取消を行う	""
予約業務	会議室予約フロー	""	予約を取り消す	""	予約を取消する	条件	予約変更条件	""	""	""	""
予約業務	会議室予約フロー	""	予約を取り消す	""	予約を取消する	画面	予約取消画面	アクター	利用者	""	""
会議室貸出業務	会議室貸出フロー	""	鍵を受け取る	""	鍵を受け取る	情報	鍵情報	""	""	会議室の鍵を受け取り利用を開始する	""
会議室貸出業務	会議室貸出フロー	""	鍵を受け取る	""	鍵を受け取る	情報	予約情報	""	""	""	""
会議室貸出業務	会議室貸出フロー	""	鍵を受け取る	""	鍵を受け取る	画面	鍵受取確認画面	アクター	利用者	""	""
