ビジネスポリシー	説明
予約時決済手段登録	会議室の予約時に利用者は決済手段（クレジットカードまたは電子マネー）を登録しなければならない
利用後引き落とし	会議室利用後にサービス運営者が利用料を利用者の登録済み決済手段から引き落とす
月末オーナー精算	月末に会議室オーナーに対して利用料が支払われる
鍵受渡による利用開始	利用者が会議室に行き会議室オーナーから鍵を受け取った時点で会議室利用開始となる
鍵返却による利用終了	会議後に利用者が鍵を返却した時点で会議室の利用終了となる
オーナー登録審査	オーナー登録にはサービス運営担当者による審査が必要である
規約確認必須	オーナー登録時に規約の参照・確認が必須である
キャンセルポリシー設定	会議室オーナーは会議室ごとにキャンセルポリシーを設定する
貸出可否設定	会議室オーナーは会議室ごとに貸出可否を設定できる
利用者使用許諾	会議室オーナーは貸出時に利用者の過去の利用評価を確認し使用許諾を判断する
相互評価制度	利用者は利用した会議室とオーナーを評価し、オーナーは利用者を評価する相互評価の仕組みを持つ
手数料徴収	サービス運営者は会議室利用料から手数料を徴収して売上とする
