要求	アクター	機能非機能
オーナーを登録できること	会議室オーナー	機能
規約参照を確認できること	会議室オーナー	機能
オーナー申請ができること	会議室オーナー	機能
オーナー退会ができること	会議室オーナー	機能
プロフィールを登録できること	会議室オーナー	機能
会議室を登録できること	会議室オーナー	機能
会議室の物件情報（広さ、価格、機能性）を登録できること	会議室オーナー	機能
会議室の運用ルール（キャンセルポリシー、貸出可否）を設定できること	会議室オーナー	機能
会議室評価を確認できること	会議室オーナー	機能
会議室を貸出できること	会議室オーナー	機能
利用者の使用許諾（過去の利用評価）を確認できること	会議室オーナー	機能
会議室のカギを貸し出せること	会議室オーナー	機能
利用者評価を登録できること	会議室オーナー	機能
利用者からの問合せに回答できること	会議室オーナー	機能
会議室の利用実績を管理できること	会議室オーナー	機能
会議室評価（利用者からの評価）を確認できること	会議室オーナー	機能
売上実績を管理できること	会議室オーナー	機能
手数料売上を分析できること（会議室別、貸出別）	サービス運営担当者	機能
オーナー登録を審査できること	サービス運営担当者	機能
サービスを運用管理できること	サービス運営担当者	機能
サービスの利用状況を管理できること	サービス運営担当者	機能
利用履歴を管理できること（会員別、物件別）	サービス運営担当者	機能
会議室利用状況を分析できること	サービス運営担当者	機能
利用者からのサービス問合せに対応できること	サービス運営担当者	機能
会議室別の利用履歴からオーナーへの清算額を支払うこと	サービス運営担当者	機能
月末に会議室オーナーに利用料が支払われること	サービス運営担当者	機能
会議室を照会できること（広さ、価格、機能性、評価）	利用者	機能
会議室を予約できること	利用者	機能
予約時に決済方法（クレジットカード、電子マネー）を設定できること	利用者	機能
予約を変更・取消できること	利用者	機能
会議室オーナーへ問合せできること	利用者	機能
利用した会議室とそのホストを評価登録できること	利用者	機能
会議室の予約時に決済手段を登録できること	利用者	機能
会議室を利用後にサービス運営者が利用料を引き落とすこと	サービス運営担当者	機能
決済機関と連携して清算を実行できること		機能
