コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
オーナー管理	オーナー	オーナーID、氏名、メールアドレス、電話番号、住所、登録日、退会日、ステータス	プロフィール、オーナー申請、会議室、売上実績、清算	オーナー		会議室オーナーとして登録された人物。オーナーID で一意に識別される。会議室の貸出を行う
オーナー管理	プロフィール	プロフィールID、自己紹介、アイコン画像、本人確認情報	オーナー			オーナーの公開プロフィール情報。オーナーに紐づき、利用者への信頼性を示す
オーナー管理	オーナー申請	申請ID、申請日、審査ステータス、審査日、審査コメント、申請内容	オーナー、規約	オーナー申請	オーナー審査結果	オーナーとして登録するための審査申請。申請ID で一意に識別され、サービス運営担当者が審査する
オーナー管理	規約	規約ID、規約名、規約本文、バージョン、施行日	オーナー申請			サービス利用にあたっての規約。オーナー登録時に参照・確認される
会議室管理	会議室	会議室ID、会議室名、広さ、価格、機能性、所在地、最大収容人数、設備一覧、画像、公開ステータス、登録日	オーナー、運用ルール、鍵、予約、会議室評価、利用実績	会議室	会議室照会条件	オーナーが登録する貸出対象の物件。会議室ID で一意に識別される。広さ・価格・機能性などの物件情報を持つ
会議室管理	運用ルール	運用ルールID、キャンセルポリシー、貸出可否、利用可能時間帯、最低利用時間、最大利用時間	会議室			会議室ごとに設定される貸出条件。会議室に紐づき、キャンセルポリシーや貸出可否を定義する
会議室管理	鍵	鍵ID、鍵種別、貸出状態、貸出日時、返却日時	会議室、利用者	鍵	鍵状態	会議室の物理的な鍵。会議室に紐づき、貸出・返却によって利用の開始・終了を管理する
利用者管理	利用者	利用者ID、氏名、メールアドレス、電話番号、登録日、ステータス	予約、利用者評価、会議室評価、決済、問合せ、利用実績		アクター種別	会議室を予約・利用する人物。利用者ID で一意に識別される。会員として登録されている
予約管理	予約	予約ID、予約日時、利用開始日時、利用終了日時、予約ステータス、変更回数、取消日時、取消理由	利用者、会議室、決済、運用ルール	予約	予約操作種別	利用者が会議室を予約した情報。予約ID で一意に識別される。予約日時・決済方法・変更取消状態を持つ
予約管理	会議室利用	利用開始日時、利用終了日時	予約、鍵、会議室、利用者	会議室利用		予約が確定した後の会議室利用状態を管理する。鍵の受け渡しにより利用の開始・終了が決定される
評価管理	会議室評価	評価ID、評価点、コメント、評価日時、評価対象区分	利用者、会議室、オーナー		会議室評価主体	利用者が会議室およびオーナーに対して登録する評価。評価ID で一意に識別される
評価管理	利用者評価	評価ID、評価点、コメント、評価日時	オーナー、利用者			オーナーが利用者に対して登録する評価。評価ID で一意に識別される。利用許諾判断にも使用される
利用実績管理	利用実績	利用実績ID、利用日、利用開始日時、利用終了日時、利用時間、利用料金	会議室、利用者、予約、売上実績		利用履歴分析軸	会議室の利用履歴。利用実績ID で一意に識別される。会員別・物件別に管理される
売上管理	売上実績	売上ID、売上金額、手数料金額、売上日、集計期間	オーナー、会議室、利用実績、清算		売上分析軸	会議室貸出による売上情報。売上ID で一意に識別される。会議室別・貸出別に集計される
売上管理	手数料売上	手数料売上ID、手数料率、手数料金額、対象期間、集計日	会議室、売上実績		売上分析軸	サービス運営者が得る手数料の売上情報。会議室別・貸出別に分析される
清算管理	清算	清算ID、清算金額、清算日、清算ステータス、対象期間、支払方法	オーナー、売上実績、決済		精算サイクル	会議室オーナーへの利用料支払い。清算ID で一意に識別される。月末に会議室別の利用履歴から算出される
問合せ管理	問合せ	問合せID、問合せ種別、問合せ内容、問合せ日時、回答内容、回答日時、対応ステータス	利用者、オーナー	問合せ		利用者からオーナーまたはサービス運営へ送られる問合せ。問合せID で一意に識別される
決済管理	決済	決済ID、決済手段、決済ステータス、決済金額、決済日時、カード番号（マスク）、電子マネー種別	利用者、予約、清算	決済	決済方法	予約時に登録される決済情報。決済ID で一意に識別される。クレジットカード・電子マネーなどの決済手段を持つ
