コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
オーナー管理	オーナー	""	""	申請中	オーナーのライフサイクルを管理する。登録申請から審査・承認を経て退会までの状態遷移を表す
オーナー管理	オーナー	申請中	オーナー申請を審査する	審査中	サービス運営担当者がオーナー登録申請の審査を開始する
オーナー管理	オーナー	審査中	オーナー申請を審査する	承認済	サービス運営担当者が審査を完了しオーナーとして承認する
オーナー管理	オーナー	審査中	オーナー申請を審査する	申請中	審査の結果、差し戻しとなり再申請が必要になる
オーナー管理	オーナー	承認済	退会を処理する	退会済	承認済のオーナーがサービスから退会する
オーナー管理	オーナー	退会済	""	""	オーナーが退会しライフサイクルが終了する
オーナー管理	オーナー申請	""	""	下書き	オーナー登録申請のライフサイクルを管理する。申請から審査・承認または却下までの状態遷移を表す
オーナー管理	オーナー申請	下書き	オーナー登録を申請する	申請済	オーナーが規約を確認しプロフィールを登録して申請を提出する
オーナー管理	オーナー申請	申請済	オーナー申請を受け付ける	審査中	サービス運営担当者が申請の審査を開始する
オーナー管理	オーナー申請	審査中	オーナー申請を審査する	承認	審査の結果オーナーとして承認される
オーナー管理	オーナー申請	審査中	オーナー申請を審査する	却下	審査の結果申請が却下される
オーナー管理	オーナー申請	却下	オーナー登録を申請する	下書き	却下された申請を修正して再申請する
オーナー管理	オーナー申請	承認	""	""	申請が承認されオーナー登録が完了する
オーナー管理	オーナー申請	却下	""	""	却下された申請が再申請されずに終了する
会議室管理	会議室	""	""	未公開	会議室のライフサイクルを管理する。登録から公開・貸出停止・非公開・削除までの状態遷移を表す
会議室管理	会議室	未公開	会議室を公開する	公開中	オーナーが会議室情報と運用ルールを設定し公開する
会議室管理	会議室	公開中	貸出可否を設定する	貸出停止	オーナーが貸出可否設定により貸出を停止する
会議室管理	会議室	貸出停止	貸出可否を設定する	公開中	オーナーが貸出停止を解除し再び公開する
会議室管理	会議室	公開中	会議室を登録する	未公開	オーナーが公開中の会議室を非公開にする
会議室管理	会議室	貸出停止	会議室を登録する	未公開	オーナーが貸出停止中の会議室を非公開にする
会議室管理	会議室	未公開	""	""	会議室が削除されライフサイクルが終了する
予約管理	予約	""	""	仮予約	予約のライフサイクルを管理する。予約申込から確定・変更・取消・完了までの状態遷移を表す
予約管理	予約	仮予約	使用許諾を判断する	確定	オーナーが利用者の使用許諾を判断し予約が確定する
予約管理	予約	確定	予約を変更する	変更中	利用者が確定済みの予約の変更を申請する
予約管理	予約	変更中	予約変更取消を処理する	確定	予約変更が完了し再び確定状態になる
予約管理	予約	仮予約	予約を取り消す	取消済	利用者が仮予約を取り消す
予約管理	予約	確定	予約を取り消す	取消済	利用者がキャンセルポリシーに基づき確定済みの予約を取り消す
予約管理	予約	変更中	予約を取り消す	取消済	変更中の予約を取り消す
予約管理	予約	確定	予約を確定する	完了	会議室利用が終了し予約が完了する
予約管理	予約	取消済	""	""	予約が取り消されライフサイクルが終了する
予約管理	予約	完了	""	""	予約が完了しライフサイクルが終了する
会議室管理	鍵	""	""	保管中	鍵のライフサイクルを管理する。会議室に紐づく鍵の保管・貸出・返却の状態遷移を表す
会議室管理	鍵	保管中	鍵を貸し出す	貸出中	オーナーが利用者に鍵を貸し出し会議室利用が開始される
会議室管理	鍵	貸出中	鍵の返却を受け付ける	返却済	利用者が鍵を返却し会議室利用が終了する
会議室管理	鍵	返却済	鍵を貸し出す	保管中	返却された鍵が再び保管状態に戻る
会議室管理	鍵	返却済	""	""	鍵が廃棄されライフサイクルが終了する
決済管理	決済	""	""	未決済	決済のライフサイクルを管理する。予約時の決済手段登録から引落・精算完了までの状態遷移を表す
決済管理	決済	未決済	決済手段を登録する	決済登録済	利用者が予約時に決済手段（クレジットカード・電子マネー）を登録する
決済管理	決済	決済登録済	利用料を引き落とす	引落済	会議室利用後にサービス運営者が利用者から利用料を引き落とす
決済管理	決済	引落済	オーナーへ精算を実行する	精算済	月末に会議室別の利用履歴からオーナーへの精算額を決済機関経由で支払う
決済管理	決済	精算済	""	""	精算が完了し決済ライフサイクルが終了する
予約管理	会議室利用	""	""	利用前	会議室利用のライフサイクルを管理する。予約確定後の鍵受渡しによる利用開始・終了の状態遷移を表す
予約管理	会議室利用	利用前	鍵を貸し出す	利用中	利用者が会議室オーナーから鍵を受け取り利用を開始する
予約管理	会議室利用	利用中	鍵の返却を受け付ける	利用終了	利用者が鍵を返却し会議室利用が終了する
予約管理	会議室利用	利用終了	""	""	会議室利用が終了しライフサイクルが終了する
問合せ管理	問合せ	""	""	受付済	問合せのライフサイクルを管理する。受付から対応・回答・クローズまでの状態遷移を表す
問合せ管理	問合せ	受付済	利用者からの問合せに回答する	対応中	問合せの担当者が対応を開始する
問合せ管理	問合せ	対応中	利用者からの問合せに回答する	回答済	担当者が問合せに回答する
問合せ管理	問合せ	回答済	利用者からの問合せに回答する	クローズ	問合せが解決しクローズされる
問合せ管理	問合せ	回答済	会議室オーナーへ問合せを登録する	対応中	回答後に追加の問合せがあり再度対応を開始する
問合せ管理	問合せ	クローズ	""	""	問合せが完了しライフサイクルが終了する
