条件	条件の説明
決済手段事前登録必須	会議室予約時にクレジットカードまたは電子マネーのいずれかの決済手段を事前登録しなければ予約を確定できない
利用料引落の実行主体	会議室利用後の利用料はサービス運営者が決済機関経由で利用者から引き落とす（オーナーは直接引き落とさない）
オーナー清算月末一括	会議室オーナーへの利用料支払いは月末に一括で実施する
清算額算出基準	オーナー清算額は会議室別の利用履歴と手数料を差し引いた金額で算出する
手数料徴収ルール	会議室貸出売上から所定の手数料をサービス運営者が徴収する
会議室利用開始成立条件	利用者がオーナーから鍵を受け取った時点で会議室の利用開始が成立する
会議室利用終了成立条件	会議後に利用者がオーナーへ鍵を返却した時点で会議室の利用が終了する
オーナー審査必須	オーナー申請に対してサービス運営担当者による審査を経ない限り正式なオーナーとして登録されない
オーナー登録前規約同意必須	オーナー登録申請時に規約への同意がないと申請できない
貸出時利用者評価確認	会議室オーナーは貸出前に利用者の過去の利用評価を確認した上で使用許諾を判断する
相互評価の成立条件	オーナーは利用終了後に利用者を評価し、利用者は利用終了後に会議室とオーナーを評価する
評価登録タイミング制約	評価は会議室の利用終了（鍵返却）後にのみ登録できる
予約変更・取消のポリシー適用	予約の変更・取消はオーナーが設定した会議室ごとのキャンセルポリシーに従って可否と手数料が決定される
会議室貸出可否判定	オーナーが設定した運用ルール（貸出可否）に基づき、貸出不可の会議室は予約対象にならない
問合せ分離管理	利用者からの問合せはオーナー向け（会議室に関する問合せ）と運営向け（サービスに関する問合せ）に分離して管理する
売上・利用履歴のオーナー別管理	利用実績と売上は会議室別・オーナー単位で集計・管理する
会議室照会条件	利用者は広さ・価格・機能性・評価の条件で会議室を照会できる
退会時の未清算チェック	オーナー退会時に未清算の利用履歴が残っていないことを確認する
決済失敗時の取扱い	利用料の引落に失敗した場合は予約を無効とし清算対象から除外する
