コンテキスト	バリエーション	値	説明
会議室管理	会議室機能性区分	プロジェクター、ホワイトボード、Wi-Fi、スクリーン、音響設備、テレビ会議設備	会議室の備品や設備を分類し、利用者が条件に合う会議室を検索できるようにするために使用する
会議室管理	会議室広さ区分	少人数用、中規模、大規模	利用人数に応じた会議室カテゴリを提供し、利用者の会議室検索・照会に活用する
会議室管理	料金プラン区分	時間単位、半日、一日	貸出単位による料金体系を区分し、予約時の料金計算と表示に使用する
会議室管理	キャンセルポリシー区分	無料キャンセル、一部返金、返金なし	オーナーごとに異なるキャンセル時の返金ルールを分類し、予約変更・取消時の可否と手数料判定に使用する
会議室管理	貸出可否区分	貸出可、貸出停止	会議室が現在貸出可能か停止中かを管理し、予約対象の判定に使用する
予約管理	決済手段区分	クレジットカード、電子マネー	利用者が選択可能な支払方法を分類し、予約時の決済手段登録に使用する
評価管理	評価区分	星1、星2、星3、星4、星5	会議室およびオーナー・利用者に対する評価レベルを分類し、相互評価の登録と参照に使用する
オーナー管理	オーナー審査区分	承認、却下、保留	サービス運営担当者がオーナー申請を審査する際の結果を分類し、オーナー登録状態の判定に使用する
問合せ管理	問合せ種別	トラブル、質問、要望、クレーム	利用者からサービス運営担当者やオーナーへの問合せ内容を分類し、対応優先度や担当振り分けに使用する
実績管理	利用履歴集計区分	会員別、物件別	利用履歴を集計する際の切り口を分類し、サービス運営担当者による利用履歴管理・分析に使用する
実績管理	手数料売上分析区分	会議室別、貸出別	サービス運営担当者が手数料売上を分析する際の切り口を分類し、売上分析業務に使用する
清算管理	精算区分	清算対象、清算済、保留	会議室オーナーへの月末精算の対象・状態を分類し、清算業務の進捗管理に使用する
