コンテキスト	バリエーション	値	説明
利用者管理	アクター種別	会議室オーナー、利用者、サービス運営担当者	貸し会議室サービスに関わる人の役割の区分
決済管理	決済方法	クレジットカード、電子マネー	会議室予約時に利用者が選択する決済手段の種別
評価管理	会議室評価主体	利用者、オーナー	会議室やホストを評価する主体の区分。利用者は会議室とオーナーを評価し、オーナーは利用者を評価する
予約管理	予約操作種別	新規予約、変更、取消	利用者が会議室予約に対して行う操作の区分
会議室管理	会議室照会条件	広さ、価格、機能性、評価	利用者が会議室を検索・照会する際の条件の種別
売上管理	売上分析軸	会議室別、貸出別	サービス運営担当者が手数料売上を分析する際の集計軸
利用実績管理	利用履歴分析軸	会員別、物件別	サービス運営担当者が利用履歴を管理・分析する際の集計軸
会議室管理	鍵状態	貸出中、返却済	会議室の鍵の貸出状況を表す区分。鍵の受渡しが会議室利用の開始・終了を決定する
オーナー管理	オーナー審査結果	承認、却下	サービス運営担当者がオーナー登録申請を審査した結果の区分
清算管理	精算サイクル	月末	会議室オーナーへの利用料支払いの締めタイミング
